Date,TIGER 라틴35
2016-02-11,2345.0
2016-02-12,2290.0
2016-02-15,2335.0
2016-02-16,2380.0
2016-02-17,2400.0
2016-02-18,2495.0
2016-02-19,2470.0
2016-02-22,2480.0
2016-02-23,2605.0
2016-02-24,2545.0
2016-02-25,2550.0
2016-02-26,2515.0
2016-02-29,2515.0
2016-03-02,2650.0
2016-03-03,2670.0
2016-03-04,2775.0
2016-03-07,2850.0
2016-03-08,2875.0
2016-03-09,2870.0
2016-03-10,2850.0
2016-03-11,2865.0
2016-03-14,2850.0
2016-03-15,2840.0
2016-03-16,2710.0
2016-03-17,2735.0
2016-03-18,2845.0
2016-03-21,2900.0
2016-03-22,2900.0
2016-03-23,2925.0
2016-03-24,2835.0
2016-03-25,2870.0
2016-03-28,2860.0
2016-03-29,2910.0
2016-03-30,2915.0
2016-03-31,2910.0
2016-04-01,2885.0
2016-04-04,2920.0
2016-04-05,2835.0
2016-04-06,2815.0
2016-04-07,2790.0
2016-04-08,2765.0
2016-04-11,2835.0
2016-04-12,2860.0
2016-04-14,3060.0
2016-04-15,3020.0
2016-04-18,3015.0
2016-04-19,2950.0
2016-04-20,3020.0
2016-04-21,3035.0
2016-04-22,3015.0
2016-04-25,3015.0
2016-04-26,2985.0
2016-04-27,3030.0
2016-04-28,3045.0
2016-04-29,3050.0
2016-05-02,3085.0
2016-05-03,3045.0
2016-05-04,2980.0
2016-05-09,2995.0
2016-05-10,2950.0
2016-05-11,3025.0
2016-05-12,3050.0
2016-05-13,3065.0
2016-05-16,2975.0
2016-05-17,2995.0
2016-05-18,2995.0
2016-05-19,2950.0
2016-05-20,2910.0
2016-05-23,2910.0
2016-05-24,2880.0
2016-05-25,2880.0
2016-05-26,2855.0
2016-05-27,2895.0
2016-05-30,2895.0
2016-05-31,2880.0
2016-06-01,2840.0
2016-06-02,2850.0
2016-06-03,2875.0
2016-06-07,2900.0
2016-06-08,2930.0
2016-06-09,3005.0
2016-06-10,2990.0
2016-06-13,2910.0
2016-06-14,2855.0
2016-06-15,2820.0
2016-06-16,2815.0
2016-06-17,2870.0
2016-06-20,2890.0
2016-06-21,2935.0
2016-06-22,2930.0
2016-06-23,2930.0
2016-06-24,3060.0
2016-06-27,2950.0
2016-06-28,2850.0
2016-06-29,2935.0
2016-06-30,2960.0
2016-07-01,2985.0
2016-07-04,3020.0
2016-07-05,3030.0
2016-07-06,3015.0
2016-07-07,3000.0
2016-07-08,3000.0
2016-07-11,3055.0
2016-07-12,3095.0
2016-07-13,3125.0
2016-07-14,3100.0
2016-07-15,3175.0
2016-07-18,3165.0
2016-07-19,3210.0
2016-07-20,3210.0
2016-07-21,3230.0
2016-07-22,3200.0
2016-07-25,3215.0
2016-07-26,3170.0
2016-07-27,3160.0
2016-07-28,3150.0
2016-07-29,3105.0
2016-08-01,3110.0
2016-08-02,3040.0
2016-08-03,3045.0
2016-08-04,3110.0
2016-08-05,3165.0
2016-08-08,3160.0
2016-08-09,3180.0
2016-08-10,3195.0
2016-08-11,3180.0
2016-08-12,3245.0
2016-08-16,3290.0
2016-08-17,3290.0
2016-08-18,3275.0
2016-08-19,3335.0
2016-08-22,3325.0
2016-08-23,3250.0
2016-08-24,3255.0
2016-08-25,3235.0
2016-08-26,3235.0
2016-08-29,3205.0
2016-08-30,3245.0
2016-08-31,3250.0
2016-09-01,3240.0
2016-09-02,3235.0
2016-09-05,3270.0
2016-09-06,3265.0
2016-09-07,3285.0
2016-09-08,3275.0
2016-09-09,3270.0
2016-09-12,3145.0
2016-09-13,3250.0
2016-09-19,3100.0
2016-09-20,3125.0
2016-09-21,3145.0
2016-09-22,3185.0
2016-09-23,3200.0
2016-09-26,3210.0
2016-09-27,3140.0
2016-09-28,3160.0
2016-09-29,3220.0
2016-09-30,3155.0
2016-10-04,3235.0
2016-10-05,3240.0
2016-10-06,3295.0
2016-10-07,3335.0
2016-10-10,3305.0
2016-10-11,3410.0
2016-10-12,3405.0
2016-10-13,3440.0
2016-10-14,3450.0
2016-10-17,3480.0
2016-10-18,3480.0
2016-10-19,3540.0
2016-10-20,3565.0
2016-10-21,3630.0
2016-10-24,3615.0
2016-10-25,3675.0
2016-10-26,3675.0
2016-10-27,3665.0
2016-10-28,3695.0
2016-10-31,3670.0
2016-11-01,3680.0
2016-11-02,3565.0
2016-11-03,3520.0
2016-11-04,3505.0
2016-11-07,3495.0
2016-11-08,3610.0
2016-11-09,3690.0
2016-11-10,3595.0
2016-11-11,3400.0
2016-11-14,3315.0
2016-11-15,3300.0
2016-11-16,3395.0
2016-11-17,3395.0
2016-11-18,3340.0
2016-11-21,3385.0
2016-11-22,3435.0
2016-11-23,3435.0
2016-11-24,3415.0
2016-11-25,3460.0
2016-11-28,3400.0
2016-11-29,3400.0
2016-11-30,3350.0
2016-12-01,3420.0
2016-12-02,3285.0
2016-12-05,3290.0
2016-12-06,3325.0
2016-12-07,3340.0
2016-12-08,3390.0
2016-12-09,3420.0
2016-12-12,3420.0
2016-12-13,3385.0
2016-12-14,3385.0
2016-12-15,3320.0
2016-12-16,3345.0
2016-12-19,3325.0
2016-12-20,3275.0
2016-12-21,3330.0
2016-12-22,3330.0
2016-12-23,3330.0
2016-12-26,3380.0
2016-12-27,3385.0
2016-12-28,3435.0
2016-12-29,3480.0
2017-01-02,3460.0
2017-01-03,3430.0
2017-01-04,3530.0
2017-01-05,3560.0
2017-01-06,3560.0
2017-01-09,3560.0
2017-01-10,3560.0
2017-01-11,3595.0
2017-01-12,3610.0
2017-01-13,3615.0
2017-01-16,3600.0
2017-01-17,3620.0
2017-01-18,3605.0
2017-01-19,3635.0
2017-01-20,3615.0
2017-01-23,3650.0
2017-01-24,3730.0
2017-01-25,3750.0
2017-01-26,3825.0
2017-01-31,3715.0
2017-02-01,3715.0
2017-02-02,3690.0
2017-02-03,3680.0
2017-02-06,3680.0
2017-02-07,3670.0
2017-02-08,3620.0
2017-02-09,3665.0
2017-02-10,3725.0
2017-02-13,3830.0
2017-02-14,3810.0
2017-02-15,3810.0
2017-02-16,3890.0
2017-02-17,3875.0
2017-02-20,3855.0
2017-02-21,3850.0
2017-02-22,3915.0
2017-02-23,3875.0
2017-02-24,3810.0
2017-02-27,3780.0
2017-02-28,3760.0
2017-03-02,3800.0
2017-03-03,3745.0
2017-03-06,3820.0
2017-03-07,3800.0
2017-03-08,3755.0
2017-03-09,3725.0
2017-03-10,3695.0
2017-03-13,3690.0
2017-03-14,3735.0
2017-03-15,3675.0
2017-03-16,3775.0
2017-03-17,3745.0
2017-03-20,3685.0
2017-03-21,3730.0
2017-03-22,3645.0
2017-03-23,3640.0
2017-03-24,3620.0
2017-03-27,3635.0
2017-03-28,3650.0
2017-03-29,3705.0
2017-03-30,3710.0
2017-03-31,3705.0
2017-04-03,3660.0
2017-04-04,3740.0
2017-04-05,3755.0
2017-04-06,3720.0
2017-04-07,3735.0
2017-04-10,3740.0
2017-04-11,3755.0
2017-04-12,3755.0
2017-04-13,3690.0
2017-04-14,3690.0
2017-04-17,3665.0
2017-04-18,3750.0
2017-04-19,3700.0
2017-04-20,3710.0
2017-04-21,3680.0
2017-04-24,3625.0
2017-04-25,3675.0
2017-04-26,3690.0
2017-04-27,3645.0
2017-04-28,3685.0
2017-05-02,3705.0
2017-05-04,3700.0
2017-05-08,3730.0
2017-05-10,3690.0
2017-05-11,3745.0
2017-05-12,3745.0
2017-05-15,3830.0
2017-05-16,3825.0
2017-05-17,3905.0
2017-05-18,3830.0
2017-05-19,3605.0
2017-05-22,3595.0
2017-05-23,3580.0
2017-05-24,3635.0
2017-05-25,3620.0
2017-05-26,3600.0
2017-05-29,3640.0
2017-05-30,3645.0
2017-05-31,3625.0
2017-06-01,3590.0
2017-06-02,3585.0
2017-06-05,3550.0
2017-06-07,3550.0
2017-06-08,3615.0
2017-06-09,3590.0
2017-06-12,3580.0
2017-06-13,3550.0
2017-06-14,3565.0
2017-06-15,3560.0
2017-06-16,3545.0
2017-06-19,3570.0
2017-06-20,3580.0
2017-06-21,3540.0
2017-06-22,3525.0
2017-06-23,3520.0
2017-06-26,3540.0
2017-06-27,3575.0
2017-06-28,3600.0
2017-06-29,3570.0
2017-06-30,3570.0
2017-07-03,3610.0
2017-07-04,3625.0
2017-07-05,3615.0
2017-07-06,3650.0
2017-07-07,3640.0
2017-07-10,3630.0
2017-07-11,3700.0
2017-07-12,3710.0
2017-07-13,3730.0
2017-07-14,3745.0
2017-07-17,3775.0
2017-07-18,3715.0
2017-07-19,3775.0
2017-07-20,3755.0
2017-07-21,3760.0
2017-07-24,3750.0
2017-07-25,3745.0
2017-07-26,3740.0
2017-07-27,3780.0
2017-07-28,3780.0
2017-07-31,3755.0
2017-08-01,3780.0
2017-08-02,3830.0
2017-08-03,3860.0
2017-08-04,3860.0
2017-08-07,3855.0
2017-08-08,3895.0
2017-08-09,3920.0
2017-08-10,3915.0
2017-08-11,3910.0
2017-08-14,3880.0
2017-08-16,3885.0
2017-08-17,3965.0
2017-08-18,3945.0
2017-08-21,4005.0
2017-08-22,3980.0
2017-08-23,3980.0
2017-08-24,4015.0
2017-08-25,4080.0
2017-08-28,4035.0
2017-08-29,4030.0
2017-08-30,4070.0
2017-08-31,4035.0
2017-09-01,4060.0
2017-09-04,4140.0
2017-09-05,4145.0
2017-09-06,4170.0
2017-09-07,4250.0
2017-09-08,4265.0
2017-09-11,4175.0
2017-09-12,4225.0
2017-09-13,4220.0
2017-09-14,4230.0
2017-09-15,4225.0
2017-09-18,4240.0
2017-09-19,4245.0
2017-09-20,4230.0
2017-09-21,4270.0
2017-09-22,4255.0
2017-09-25,4210.0
2017-09-26,4150.0
2017-09-27,4115.0
2017-09-28,4110.0
2017-09-29,4175.0
2017-10-10,4180.0
2017-10-11,4220.0
2017-10-12,4230.0
2017-10-13,4200.0
2017-10-16,4245.0
2017-10-17,4230.0
2017-10-18,4200.0
2017-10-19,4210.0
2017-10-20,4190.0
2017-10-23,4180.0
2017-10-24,4120.0
2017-10-25,4150.0
2017-10-26,4140.0
2017-10-27,4095.0
2017-10-30,4095.0
2017-10-31,4005.0
2017-11-01,3965.0
2017-11-02,3950.0
2017-11-03,3955.0
2017-11-06,3925.0
2017-11-07,3995.0
2017-11-08,3920.0
2017-11-09,3975.0
2017-11-10,3920.0
2017-11-13,3905.0
2017-11-14,3875.0
2017-11-15,3820.0
2017-11-16,3745.0
2017-11-17,3815.0
2017-11-20,3865.0
2017-11-21,3850.0
2017-11-22,3875.0
2017-11-23,3890.0
2017-11-24,3885.0
2017-11-27,3910.0
2017-11-28,3840.0
2017-11-29,3845.0
2017-11-30,3740.0
2017-12-01,3725.0
2017-12-04,3755.0
2017-12-05,3790.0
2017-12-06,3800.0
2017-12-07,3780.0
2017-12-08,3760.0
2017-12-11,3775.0
2017-12-12,3775.0
2017-12-13,3855.0
2017-12-14,3790.0
2017-12-15,3760.0
2017-12-18,3770.0
2017-12-19,3820.0
2017-12-20,3805.0
2017-12-21,3840.0
2017-12-22,3880.0
2017-12-26,3840.0
2017-12-27,3865.0
2017-12-28,3850.0
2018-01-02,3870.0
2018-01-03,3990.0
2018-01-04,3995.0
2018-01-05,4040.0
2018-01-08,4095.0
2018-01-09,4105.0
2018-01-10,4080.0
2018-01-11,4055.0
2018-01-12,4125.0
2018-01-15,4135.0
2018-01-16,4135.0
2018-01-17,4160.0
2018-01-18,4235.0
2018-01-19,4225.0
2018-01-22,4255.0
2018-01-23,4275.0
2018-01-24,4225.0
2018-01-25,4360.0
2018-01-26,4395.0
2018-01-29,4465.0
2018-01-30,4375.0
2018-01-31,4355.0
2018-02-01,4415.0
2018-02-02,4485.0
2018-02-05,4345.0
2018-02-06,4175.0
2018-02-07,4295.0
2018-02-08,4240.0
2018-02-09,4115.0
2018-02-12,4140.0
2018-02-13,4190.0
2018-02-14,4170.0
2018-02-19,4290.0
2018-02-20,4315.0
2018-02-21,4325.0
2018-02-22,4345.0
2018-02-23,4415.0
2018-02-26,4415.0
2018-02-27,4435.0
2018-02-28,4400.0
2018-03-02,4315.0
2018-03-05,4245.0
2018-03-06,4235.0
2018-03-07,4250.0
2018-03-08,4225.0
2018-03-09,4265.0
2018-03-12,4315.0
2018-03-13,4355.0
2018-03-14,4310.0
2018-03-15,4315.0
2018-03-16,4230.0
2018-03-19,4225.0
2018-03-20,4165.0
2018-03-21,4160.0
2018-03-22,4235.0
2018-03-23,4215.0
2018-03-26,4200.0
2018-03-27,4210.0
2018-03-28,4140.0
2018-03-29,4115.0
2018-03-30,4180.0
2018-04-02,4115.0
2018-04-03,4090.0
2018-04-04,4115.0
2018-04-05,4150.0
2018-04-06,4215.0
2018-04-09,4180.0
2018-04-10,4110.0
2018-04-11,4145.0
2018-04-12,4215.0
2018-04-13,4160.0
2018-04-16,4150.0
2018-04-17,4125.0
2018-04-18,4190.0
2018-04-19,4285.0
2018-04-20,4265.0
2018-04-23,4250.0
2018-04-24,4135.0
2018-04-25,4135.0
2018-04-26,4160.0
2018-04-27,4120.0
2018-04-30,4150.0
2018-05-02,4090.0
2018-05-03,4005.0
2018-05-04,3990.0
2018-05-08,3940.0
2018-05-09,3940.0
2018-05-10,3930.0
2018-05-11,4000.0
2018-05-14,3970.0
2018-05-15,3980.0
2018-05-16,3980.0
2018-05-17,3995.0
2018-05-18,3930.0
2018-05-21,3850.0
2018-05-23,3840.0
2018-05-24,3840.0
2018-05-25,3795.0
2018-05-28,3695.0
2018-05-29,3695.0
2018-05-30,3560.0
2018-05-31,3580.0
2018-06-01,3615.0
2018-06-04,3590.0
2018-06-05,3615.0
2018-06-07,3545.0
2018-06-08,3455.0
2018-06-11,3515.0
2018-06-12,3525.0
2018-06-14,3525.0
2018-06-15,3485.0
2018-06-18,3505.0
2018-06-19,3485.0
2018-06-20,3425.0
2018-06-21,3465.0
2018-06-22,3430.0
2018-06-25,3490.0
2018-06-26,3495.0
2018-06-27,3520.0
2018-06-28,3435.0
2018-06-29,3505.0
2018-07-02,3430.0
2018-07-03,3400.0
2018-07-04,3520.0
2018-07-05,3545.0
2018-07-06,3515.0
2018-07-09,3540.0
2018-07-10,3630.0
2018-07-11,3650.0
2018-07-12,3630.0
2018-07-13,3675.0
2018-07-16,3725.0
2018-07-17,3695.0
2018-07-18,3685.0
2018-07-19,3680.0
2018-07-20,3700.0
2018-07-23,3705.0
2018-07-24,3750.0
2018-07-25,3810.0
2018-07-26,3925.0
2018-07-27,3865.0
2018-07-30,3915.0
2018-07-31,3875.0
2018-08-01,3870.0
2018-08-02,3800.0
2018-08-03,3865.0
2018-08-06,3910.0
2018-08-07,3875.0
2018-08-08,3875.0
2018-08-09,3850.0
2018-08-10,3750.0
2018-08-13,3630.0
2018-08-14,3615.0
2018-08-16,3600.0
2018-08-17,3600.0
2018-08-20,3610.0
2018-08-21,3595.0
2018-08-22,3540.0
2018-08-23,3590.0
2018-08-24,3510.0
2018-08-27,3525.0
2018-08-28,3505.0
2018-08-29,3540.0
2018-08-30,3535.0
2018-08-31,3485.0
2018-09-03,3520.0
2018-09-04,3525.0
2018-09-05,3415.0
2018-09-06,3425.0
2018-09-07,3470.0
2018-09-10,3470.0
2018-09-11,3500.0
2018-09-12,3455.0
2018-09-13,3465.0
2018-09-14,3470.0
2018-09-17,3500.0
2018-09-18,3580.0
2018-09-19,3580.0
2018-09-20,3610.0
2018-09-21,3630.0
2018-09-27,3655.0
2018-09-28,3685.0
2018-10-01,3650.0
2018-10-02,3660.0
2018-10-04,3885.0
2018-10-05,3860.0
2018-10-08,3910.0
2018-10-10,3960.0
