Date,TREX 펀더멘탈 200
2015-04-22,26855.0
2015-04-23,27315.0
2015-04-24,27220.0
2015-04-27,27175.0
2015-04-28,27105.0
2015-04-29,26635.0
2015-04-30,26550.0
2015-05-04,26705.0
2015-05-06,26405.0
2015-05-07,26190.0
2015-05-08,26075.0
2015-05-11,26125.0
2015-05-12,26155.0
2015-05-13,26340.0
2015-05-14,26320.0
2015-05-15,26020.0
2015-05-18,26000.0
2015-05-19,26160.0
2015-05-20,26285.0
2015-05-21,26065.0
2015-05-22,26465.0
2015-05-26,26320.0
2015-05-27,25765.0
2015-05-28,25710.0
2015-05-29,25710.0
2015-06-01,25655.0
2015-06-02,25420.0
2015-06-03,25250.0
2015-06-04,25300.0
2015-06-05,25215.0
2015-06-08,25210.0
2015-06-09,25210.0
2015-06-10,25145.0
2015-06-11,25175.0
2015-06-12,25015.0
2015-06-15,24965.0
2015-06-16,24700.0
2015-06-17,24795.0
2015-06-18,24810.0
2015-06-19,24895.0
2015-06-22,25070.0
2015-06-23,25360.0
2015-06-24,25395.0
2015-06-25,25270.0
2015-06-26,25340.0
2015-06-29,24935.0
2015-06-30,25120.0
2015-07-01,25370.0
2015-07-02,25380.0
2015-07-03,25290.0
2015-07-06,24690.0
2015-07-07,24855.0
2015-07-08,24520.0
2015-07-09,24610.0
2015-07-10,24595.0
2015-07-13,24835.0
2015-07-14,24750.0
2015-07-15,24785.0
2015-07-16,24870.0
2015-07-17,24660.0
2015-07-20,24505.0
2015-07-21,24720.0
2015-07-22,24490.0
2015-07-23,24445.0
2015-07-24,24170.0
2015-07-27,24230.0
2015-07-28,24210.0
2015-07-29,24270.0
2015-07-30,24275.0
2015-07-31,24325.0
2015-08-03,24035.0
2015-08-04,24305.0
2015-08-05,24275.0
2015-08-06,24015.0
2015-08-07,23930.0
2015-08-10,23805.0
2015-08-11,23760.0
2015-08-12,23805.0
2015-08-13,23840.0
2015-08-17,23625.0
2015-08-18,23635.0
2015-08-19,23660.0
2015-08-20,23345.0
2015-08-21,22875.0
2015-08-24,22270.0
2015-08-25,22410.0
2015-08-26,22900.0
2015-08-27,22960.0
2015-08-28,23310.0
2015-08-31,23390.0
2015-09-01,23180.0
2015-09-02,23270.0
2015-09-03,23290.0
2015-09-04,23070.0
2015-09-07,23015.0
2015-09-08,23110.0
2015-09-09,23685.0
2015-09-10,24020.0
2015-09-11,23825.0
2015-09-14,23705.0
2015-09-15,23780.0
2015-09-16,24315.0
2015-09-17,24315.0
2015-09-18,24400.0
2015-09-21,23975.0
2015-09-22,24220.0
2015-09-23,23755.0
2015-09-24,23730.0
2015-09-25,23745.0
2015-09-30,24000.0
2015-10-01,24170.0
2015-10-02,23990.0
2015-10-05,24030.0
2015-10-06,24165.0
2015-10-07,24510.0
2015-10-08,24750.0
2015-10-12,24865.0
2015-10-13,24885.0
2015-10-14,24785.0
2015-10-15,25075.0
2015-10-16,24975.0
2015-10-19,25020.0
2015-10-20,25090.0
2015-10-21,25250.0
2015-10-22,25015.0
2015-10-23,25170.0
2015-10-26,25265.0
2015-10-27,25235.0
2015-10-28,25165.0
2015-10-29,25035.0
2015-10-30,25055.0
2015-11-02,25115.0
2015-11-03,25285.0
2015-11-04,25340.0
2015-11-05,25285.0
2015-11-06,25085.0
2015-11-09,24945.0
2015-11-10,24670.0
2015-11-11,24630.0
2015-11-12,24605.0
2015-11-13,24325.0
2015-11-16,23975.0
2015-11-17,24220.0
2015-11-18,24205.0
2015-11-19,24500.0
2015-11-20,24495.0
2015-11-23,24525.0
2015-11-24,24735.0
2015-11-25,24610.0
2015-11-26,24875.0
2015-11-27,24895.0
2015-11-30,24445.0
2015-12-01,24850.0
2015-12-02,24635.0
2015-12-03,24445.0
2015-12-04,24235.0
2015-12-07,24135.0
2015-12-08,23960.0
2015-12-09,23985.0
2015-12-10,24075.0
2015-12-11,24000.0
2015-12-14,23805.0
2015-12-15,23825.0
2015-12-16,24320.0
2015-12-17,24380.0
2015-12-18,24325.0
2015-12-21,24365.0
2015-12-22,24535.0
2015-12-23,24650.0
2015-12-24,24595.0
2015-12-28,24255.0
2015-12-29,24470.0
2015-12-30,24365.0
2016-01-04,23800.0
2016-01-05,23940.0
2016-01-06,23765.0
2016-01-07,23485.0
2016-01-08,23620.0
2016-01-11,23425.0
2016-01-12,23385.0
2016-01-13,23690.0
2016-01-14,23535.0
2016-01-15,23225.0
2016-01-18,23175.0
2016-01-19,23235.0
2016-01-20,22630.0
2016-01-21,22635.0
2016-01-22,23085.0
2016-01-25,23250.0
2016-01-26,23005.0
2016-01-27,23370.0
2016-01-28,23520.0
2016-01-29,23625.0
2016-02-01,23735.0
2016-02-02,23525.0
2016-02-03,23255.0
2016-02-04,23675.0
2016-02-05,23770.0
2016-02-11,23180.0
2016-02-12,23135.0
2016-02-15,23525.0
2016-02-16,23835.0
2016-02-17,23985.0
2016-02-18,24180.0
2016-02-19,24335.0
2016-02-22,24290.0
2016-02-23,24355.0
2016-02-24,24385.0
2016-02-25,24400.0
2016-02-26,24350.0
2016-02-29,24460.0
2016-03-02,24825.0
2016-03-03,24940.0
2016-03-04,24940.0
2016-03-07,25070.0
2016-03-08,24930.0
2016-03-09,24960.0
2016-03-10,25290.0
2016-03-11,25245.0
2016-03-14,25240.0
2016-03-15,25185.0
2016-03-16,25165.0
2016-03-17,25415.0
2016-03-18,25450.0
2016-03-21,25440.0
2016-03-22,25535.0
2016-03-23,25535.0
2016-03-24,25415.0
2016-03-25,25340.0
2016-03-28,25355.0
2016-03-29,25545.0
2016-03-30,25695.0
2016-03-31,25575.0
2016-04-01,25205.0
2016-04-04,25160.0
2016-04-05,25030.0
2016-04-06,25170.0
2016-04-07,25200.0
2016-04-08,25175.0
2016-04-11,25295.0
2016-04-12,25470.0
2016-04-14,26035.0
2016-04-15,25910.0
2016-04-18,25835.0
2016-04-19,25845.0
2016-04-20,25775.0
2016-04-21,26005.0
2016-04-22,25880.0
2016-04-25,25820.0
2016-04-26,25910.0
2016-04-27,25850.0
2016-04-28,25180.0
2016-04-29,25070.0
2016-05-02,24880.0
2016-05-03,24960.0
2016-05-04,24685.0
2016-05-09,24460.0
2016-05-10,24640.0
2016-05-11,24675.0
2016-05-12,24615.0
2016-05-13,24405.0
2016-05-16,24410.0
2016-05-17,24410.0
2016-05-18,24290.0
2016-05-19,24225.0
2016-05-20,24195.0
2016-05-23,24290.0
2016-05-24,24125.0
2016-05-25,24395.0
2016-05-26,24410.0
2016-05-27,24595.0
2016-05-30,24545.0
2016-05-31,24720.0
2016-06-01,24685.0
2016-06-02,24620.0
2016-06-03,24565.0
2016-06-07,24920.0
2016-06-08,25110.0
2016-06-09,25085.0
2016-06-10,25040.0
2016-06-13,24540.0
2016-06-14,24490.0
2016-06-15,24425.0
2016-06-16,24205.0
2016-06-17,24245.0
2016-06-20,24620.0
2016-06-21,24575.0
2016-06-22,24725.0
2016-06-23,24685.0
2016-06-24,23900.0
2016-06-27,23910.0
2016-06-28,24010.0
2016-06-29,24290.0
2016-06-30,24390.0
2016-07-01,24620.0
2016-07-04,24740.0
2016-07-05,24590.0
2016-07-06,24035.0
2016-07-07,24295.0
2016-07-08,24190.0
2016-07-11,24580.0
2016-07-12,24635.0
2016-07-13,24930.0
2016-07-14,24985.0
2016-07-15,25170.0
2016-07-18,25180.0
2016-07-19,25120.0
2016-07-20,25080.0
2016-07-21,25080.0
2016-07-22,25125.0
2016-07-25,25300.0
2016-07-26,25495.0
2016-07-27,25605.0
2016-07-28,25515.0
2016-07-29,25520.0
2016-08-01,25790.0
2016-08-02,25610.0
2016-08-03,25300.0
2016-08-04,25245.0
2016-08-05,25610.0
2016-08-08,25655.0
2016-08-09,25950.0
2016-08-10,25810.0
2016-08-11,25760.0
2016-08-12,25725.0
2016-08-16,25880.0
2016-08-17,25865.0
2016-08-18,26060.0
2016-08-19,26130.0
2016-08-22,25995.0
2016-08-23,25895.0
2016-08-24,25970.0
2016-08-25,26010.0
2016-08-26,25880.0
2016-08-29,25855.0
2016-08-30,25985.0
2016-08-31,25925.0
2016-09-01,25870.0
2016-09-02,25895.0
2016-09-05,26260.0
2016-09-06,26435.0
2016-09-07,26415.0
2016-09-08,26415.0
2016-09-09,26130.0
2016-09-12,25510.0
2016-09-13,25545.0
2016-09-19,25730.0
2016-09-20,25775.0
2016-09-21,25885.0
2016-09-22,26075.0
2016-09-23,26055.0
2016-09-26,25940.0
2016-09-27,26180.0
2016-09-28,26000.0
2016-09-29,26230.0
2016-09-30,25960.0
2016-10-04,26195.0
2016-10-05,26170.0
2016-10-06,26390.0
2016-10-07,26320.0
2016-10-10,26320.0
2016-10-11,26080.0
2016-10-12,26080.0
2016-10-13,25900.0
2016-10-14,25995.0
2016-10-17,26115.0
2016-10-18,26320.0
2016-10-19,26350.0
2016-10-20,26360.0
2016-10-21,26320.0
2016-10-24,26525.0
2016-10-25,26605.0
2016-10-26,26210.0
2016-10-27,26310.0
2016-10-28,26215.0
2016-10-31,26260.0
2016-11-01,26260.0
2016-11-02,26010.0
2016-11-03,25970.0
2016-11-04,25880.0
2016-11-07,26145.0
2016-11-08,26170.0
2016-11-09,25500.0
2016-11-10,26085.0
2016-11-11,25925.0
2016-11-14,25805.0
2016-11-15,25765.0
2016-11-16,25915.0
2016-11-17,25870.0
2016-11-18,25845.0
2016-11-21,25820.0
2016-11-22,26105.0
2016-11-23,26320.0
2016-11-24,26165.0
2016-11-25,26130.0
2016-11-28,26130.0
2016-11-29,26130.0
2016-11-30,26250.0
2016-12-01,26350.0
2016-12-02,26210.0
2016-12-05,26160.0
2016-12-06,26515.0
2016-12-07,26640.0
2016-12-08,27030.0
2016-12-09,27145.0
2016-12-12,27140.0
2016-12-13,27155.0
2016-12-14,27175.0
2016-12-15,27155.0
2016-12-16,27205.0
2016-12-19,27165.0
2016-12-20,27255.0
2016-12-21,27210.0
2016-12-22,27175.0
2016-12-23,27135.0
2016-12-26,27135.0
2016-12-27,27230.0
2016-12-28,27425.0
2016-12-29,27400.0
2017-01-02,27550.0
2017-01-03,27795.0
2017-01-04,27755.0
2017-01-05,27615.0
2017-01-06,27735.0
2017-01-09,27860.0
2017-01-10,27820.0
2017-01-11,28300.0
2017-01-12,28400.0
2017-01-13,28245.0
2017-01-16,28125.0
2017-01-17,28240.0
2017-01-18,28265.0
2017-01-19,28280.0
2017-01-20,28210.0
2017-01-23,28220.0
2017-01-24,28205.0
2017-01-25,28235.0
2017-01-26,28545.0
2017-01-31,28280.0
2017-02-01,28440.0
2017-02-02,28185.0
2017-02-03,28325.0
2017-02-06,28395.0
2017-02-07,28350.0
2017-02-08,28300.0
2017-02-09,28410.0
2017-02-10,28485.0
2017-02-13,28515.0
2017-02-14,28435.0
2017-02-15,28520.0
2017-02-16,28535.0
2017-02-17,28535.0
2017-02-20,28535.0
2017-02-21,28890.0
2017-02-22,37555.0
2017-02-23,28940.0
2017-02-24,28510.0
2017-02-27,28445.0
2017-02-28,28640.0
2017-03-02,28920.0
2017-03-03,28710.0
2017-03-06,28770.0
2017-03-07,28950.0
2017-03-08,28950.0
2017-03-09,28910.0
2017-03-10,28975.0
2017-03-13,29155.0
2017-03-14,29510.0
2017-03-15,29520.0
2017-03-16,29725.0
2017-03-17,29920.0
2017-03-20,29875.0
2017-03-21,30235.0
2017-03-22,29995.0
2017-03-23,30115.0
2017-03-24,30030.0
2017-03-27,29750.0
2017-03-28,29835.0
2017-03-29,29870.0
2017-03-30,29875.0
2017-03-31,29810.0
2017-04-03,29835.0
2017-04-04,29700.0
2017-04-05,29740.0
2017-04-06,29615.0
2017-04-07,29565.0
2017-04-10,29375.0
2017-04-11,29235.0
2017-04-12,29285.0
2017-04-13,29505.0
2017-04-14,29330.0
2017-04-17,29420.0
2017-04-18,29430.0
2017-04-19,29195.0
2017-04-20,29195.0
2017-04-21,29485.0
2017-04-24,29770.0
2017-04-25,30140.0
2017-04-26,30335.0
2017-04-27,29845.0
2017-04-28,29760.0
2017-05-02,30065.0
2017-05-04,30235.0
2017-05-08,30915.0
2017-05-10,30535.0
2017-05-11,31030.0
2017-05-12,30915.0
2017-05-15,30980.0
2017-05-16,31100.0
2017-05-17,30980.0
2017-05-18,31015.0
2017-05-19,31000.0
2017-05-22,31300.0
2017-05-23,31300.0
2017-05-24,31370.0
2017-05-25,31795.0
2017-05-26,31925.0
2017-05-29,31860.0
2017-05-30,31685.0
2017-05-31,31680.0
2017-06-01,31620.0
2017-06-02,31990.0
2017-06-05,31965.0
2017-06-07,31760.0
2017-06-08,31680.0
2017-06-09,32125.0
2017-06-12,31940.0
2017-06-13,32120.0
2017-06-14,32185.0
2017-06-15,31995.0
2017-06-16,32040.0
2017-06-19,32075.0
2017-06-20,32210.0
2017-06-21,31935.0
2017-06-22,32090.0
2017-06-23,32130.0
2017-06-26,32295.0
2017-06-27,32250.0
2017-06-28,32245.0
2017-06-29,32480.0
2017-06-30,32420.0
2017-07-03,32600.0
2017-07-04,32355.0
2017-07-05,32465.0
2017-07-06,32435.0
2017-07-07,32290.0
2017-07-10,32365.0
2017-07-11,32595.0
2017-07-12,32560.0
2017-07-13,32925.0
2017-07-14,32905.0
2017-07-17,32980.0
2017-07-18,33060.0
2017-07-19,33045.0
2017-07-20,33160.0
2017-07-21,33455.0
2017-07-24,33415.0
2017-07-25,33285.0
2017-07-26,33345.0
2017-07-27,33420.0
2017-07-28,32940.0
2017-07-31,32935.0
2017-08-01,33265.0
2017-08-02,33285.0
2017-08-03,32790.0
2017-08-04,33035.0
2017-08-07,33025.0
2017-08-08,32905.0
2017-08-09,32610.0
2017-08-10,32430.0
2017-08-11,31855.0
2017-08-14,32080.0
2017-08-16,32175.0
2017-08-17,32400.0
2017-08-18,32315.0
2017-08-21,32310.0
2017-08-22,32415.0
2017-08-23,32375.0
2017-08-24,32405.0
2017-08-25,32540.0
2017-08-28,32420.0
2017-08-29,32265.0
2017-08-30,32330.0
2017-08-31,32200.0
2017-09-01,32200.0
2017-09-04,31835.0
2017-09-05,31685.0
2017-09-06,31460.0
2017-09-07,31800.0
2017-09-08,31770.0
2017-09-11,31965.0
2017-09-12,32020.0
2017-09-13,32015.0
2017-09-14,32040.0
2017-09-15,32235.0
2017-09-18,32655.0
2017-09-19,32645.0
2017-09-20,32570.0
2017-09-21,32575.0
2017-09-22,32390.0
2017-09-25,32270.0
2017-09-26,32250.0
2017-09-27,32180.0
2017-09-28,32225.0
2017-09-29,32460.0
2017-10-10,33010.0
2017-10-11,33245.0
2017-10-12,33445.0
2017-10-13,33395.0
2017-10-16,33510.0
2017-10-17,33480.0
2017-10-18,33420.0
2017-10-19,33420.0
2017-10-20,33545.0
2017-10-23,33590.0
2017-10-24,33550.0
2017-10-25,33560.0
2017-10-26,33395.0
2017-10-27,33600.0
2017-10-30,33600.0
2017-10-31,33870.0
2017-11-01,34195.0
2017-11-02,34120.0
2017-11-03,34300.0
2017-11-06,34070.0
2017-11-07,34025.0
2017-11-08,34050.0
2017-11-09,34055.0
2017-11-10,33940.0
2017-11-13,33780.0
2017-11-14,33670.0
2017-11-15,33500.0
2017-11-16,33735.0
2017-11-17,33670.0
2017-11-20,33555.0
2017-11-21,33555.0
2017-11-22,33770.0
2017-11-23,33745.0
2017-11-24,33835.0
2017-11-27,33425.0
2017-11-28,33475.0
2017-11-29,33550.0
2017-11-30,33265.0
2017-12-01,33095.0
2017-12-04,33370.0
2017-12-05,33635.0
2017-12-06,33190.0
2017-12-07,33035.0
2017-12-08,33020.0
2017-12-11,32930.0
2017-12-12,32825.0
2017-12-13,33135.0
2017-12-14,33355.0
2017-12-15,33225.0
2017-12-18,33230.0
2017-12-19,33230.0
2017-12-20,33255.0
2017-12-21,32780.0
2017-12-22,32910.0
2017-12-26,32795.0
2017-12-27,33230.0
2017-12-28,33610.0
2018-01-02,33660.0
2018-01-03,33845.0
2018-01-04,33620.0
2018-01-05,34040.0
2018-01-08,34215.0
2018-01-09,34200.0
2018-01-10,34135.0
2018-01-11,34030.0
2018-01-12,34110.0
2018-01-15,33965.0
2018-01-16,34290.0
2018-01-17,34245.0
2018-01-18,34170.0
2018-01-19,34365.0
2018-01-22,34070.0
2018-01-23,34395.0
2018-01-24,34370.0
2018-01-25,34695.0
2018-01-26,34720.0
2018-01-29,35080.0
2018-01-30,34705.0
2018-01-31,34795.0
2018-02-01,34765.0
