Date,TIGER LG그룹+펀더멘털
2015-09-14,5820.0
2015-09-15,5825.0
2015-09-16,6045.0
2015-09-17,6055.0
2015-09-18,6055.0
2015-09-21,5970.0
2015-09-22,5950.0
2015-09-23,5930.0
2015-09-24,5930.0
2015-09-25,5890.0
2015-09-30,6015.0
2015-10-01,6090.0
2015-10-02,5985.0
2015-10-05,6045.0
2015-10-06,6075.0
2015-10-07,6085.0
2015-10-08,6100.0
2015-10-12,6100.0
2015-10-13,6065.0
2015-10-14,6000.0
2015-10-15,6210.0
2015-10-16,6180.0
2015-10-19,6190.0
2015-10-20,6205.0
2015-10-21,6390.0
2015-10-22,6300.0
2015-10-23,6290.0
2015-10-26,6295.0
2015-10-27,6295.0
2015-10-28,6380.0
2015-10-29,6320.0
2015-10-30,6205.0
2015-11-02,6210.0
2015-11-03,6320.0
2015-11-04,6295.0
2015-11-05,6290.0
2015-11-06,6190.0
2015-11-09,6145.0
2015-11-10,6160.0
2015-11-11,6135.0
2015-11-12,6175.0
2015-11-13,6170.0
2015-11-16,6045.0
2015-11-17,6240.0
2015-11-18,6215.0
2015-11-19,6400.0
2015-11-20,6480.0
2015-11-23,6415.0
2015-11-24,6635.0
2015-11-25,6595.0
2015-11-26,6595.0
2015-11-27,6625.0
2015-11-30,6570.0
2015-12-01,6580.0
2015-12-02,6555.0
2015-12-03,6435.0
2015-12-04,6395.0
2015-12-07,6410.0
2015-12-08,6380.0
2015-12-09,6390.0
2015-12-10,6295.0
2015-12-11,6395.0
2015-12-14,6290.0
2015-12-15,6300.0
2015-12-16,6425.0
2015-12-17,6500.0
2015-12-18,6440.0
2015-12-21,6540.0
2015-12-22,6580.0
2015-12-23,6640.0
2015-12-24,6610.0
2015-12-28,6455.0
2015-12-29,6550.0
2015-12-30,6585.0
2016-01-04,6510.0
2016-01-05,6535.0
2016-01-06,6450.0
2016-01-07,6460.0
2016-01-08,6410.0
2016-01-11,6385.0
2016-01-12,6385.0
2016-01-13,6460.0
2016-01-14,6455.0
2016-01-15,6365.0
2016-01-18,6275.0
2016-01-19,6120.0
2016-01-20,6045.0
2016-01-21,6090.0
2016-01-22,6215.0
2016-01-25,6260.0
2016-01-26,6075.0
2016-01-27,6320.0
2016-01-28,6250.0
2016-01-29,6320.0
2016-02-01,6280.0
2016-02-02,6240.0
2016-02-03,6170.0
2016-02-04,6300.0
2016-02-05,6260.0
2016-02-11,6100.0
2016-02-12,6035.0
2016-02-15,6145.0
2016-02-16,6285.0
2016-02-17,6260.0
2016-02-18,6350.0
2016-02-19,6420.0
2016-02-22,6525.0
2016-02-23,6500.0
2016-02-24,6535.0
2016-02-25,6520.0
2016-02-26,6565.0
2016-02-29,6645.0
2016-03-02,6740.0
2016-03-03,6635.0
2016-03-04,6550.0
2016-03-07,6605.0
2016-03-08,6630.0
2016-03-09,6595.0
2016-03-10,6640.0
2016-03-11,6680.0
2016-03-14,6640.0
2016-03-15,6615.0
2016-03-16,6650.0
2016-03-17,6715.0
2016-03-18,6720.0
2016-03-21,6745.0
2016-03-22,6780.0
2016-03-23,6850.0
2016-03-24,6865.0
2016-03-25,6810.0
2016-03-28,6765.0
2016-03-29,6870.0
2016-03-30,6985.0
2016-03-31,6960.0
2016-04-01,6835.0
2016-04-04,6905.0
2016-04-05,6870.0
2016-04-06,6880.0
2016-04-07,6950.0
2016-04-08,6990.0
2016-04-11,7005.0
2016-04-12,7075.0
2016-04-14,7135.0
2016-04-15,6990.0
2016-04-18,7025.0
2016-04-19,6940.0
2016-04-20,6900.0
2016-04-21,6955.0
2016-04-22,6890.0
2016-04-25,6880.0
2016-04-26,6810.0
2016-04-27,6745.0
2016-04-28,6615.0
2016-04-29,6590.0
2016-05-02,6615.0
2016-05-03,6620.0
2016-05-04,6515.0
2016-05-09,6400.0
2016-05-10,6500.0
2016-05-11,6520.0
2016-05-12,6590.0
2016-05-13,6490.0
2016-05-16,6525.0
2016-05-17,6530.0
2016-05-18,6460.0
2016-05-19,6360.0
2016-05-20,6435.0
2016-05-23,6450.0
2016-05-24,6435.0
2016-05-25,6535.0
2016-05-26,6495.0
2016-05-27,6555.0
2016-05-30,6535.0
2016-05-31,6560.0
2016-06-01,6485.0
2016-06-02,6445.0
2016-06-03,6335.0
2016-06-07,6400.0
2016-06-08,6435.0
2016-06-09,6480.0
2016-06-10,6435.0
2016-06-13,6355.0
2016-06-14,6250.0
2016-06-15,6280.0
2016-06-16,6205.0
2016-06-17,6195.0
2016-06-20,6330.0
2016-06-21,6330.0
2016-06-22,6335.0
2016-06-23,6325.0
2016-06-24,6075.0
2016-06-27,6055.0
2016-06-28,6095.0
2016-06-29,6315.0
2016-06-30,6375.0
2016-07-01,6415.0
2016-07-04,6470.0
2016-07-05,6455.0
2016-07-06,6320.0
2016-07-07,6420.0
2016-07-08,6450.0
2016-07-11,6460.0
2016-07-12,6490.0
2016-07-13,6450.0
2016-07-14,6505.0
2016-07-15,6530.0
2016-07-18,6530.0
2016-07-19,6545.0
2016-07-20,6505.0
2016-07-21,6460.0
2016-07-22,6450.0
2016-07-25,6405.0
2016-07-26,6465.0
2016-07-27,6545.0
2016-07-28,6495.0
2016-07-29,6505.0
2016-08-01,6625.0
2016-08-02,6520.0
2016-08-03,6510.0
2016-08-04,6520.0
2016-08-05,6550.0
2016-08-08,6485.0
2016-08-09,6635.0
2016-08-10,6605.0
2016-08-11,6600.0
2016-08-12,6625.0
2016-08-16,6595.0
2016-08-17,6635.0
2016-08-18,6600.0
2016-08-19,6690.0
2016-08-22,6700.0
2016-08-23,6640.0
2016-08-24,6620.0
