Date,TIGER 구리실물
2017-11-30,7110.0
2017-12-01,7105.0
2017-12-04,7100.0
2017-12-05,7145.0
2017-12-06,7035.0
2017-12-07,6895.0
2017-12-08,6935.0
2017-12-11,6915.0
2017-12-12,6915.0
2017-12-13,6955.0
2017-12-14,7030.0
2017-12-15,7090.0
2017-12-18,7085.0
2017-12-19,7085.0
2017-12-20,7105.0
2017-12-21,7230.0
2017-12-22,7270.0
2017-12-26,7290.0
2017-12-27,7270.0
2017-12-28,7355.0
2018-01-02,7425.0
2018-01-03,7385.0
2018-01-04,7350.0
2018-01-05,7370.0
2018-01-08,7300.0
2018-01-09,7335.0
2018-01-10,7370.0
2018-01-11,7400.0
2018-01-12,7345.0
2018-01-15,7365.0
2018-01-16,7465.0
2018-01-17,7205.0
2018-01-18,7280.0
2018-01-19,7275.0
2018-01-22,7360.0
2018-01-23,7275.0
2018-01-24,7200.0
2018-01-25,7140.0
2018-01-26,7315.0
2018-01-29,7330.0
2018-01-30,7265.0
2018-01-31,7260.0
2018-02-01,7360.0
2018-02-02,7395.0
2018-02-05,7405.0
2018-02-06,7280.0
2018-02-07,7375.0
2018-02-08,7415.0
2018-02-09,7175.0
2018-02-12,7180.0
2018-02-13,7145.0
2018-02-14,7185.0
2018-02-19,7320.0
2018-02-20,7215.0
2018-02-21,7260.0
2018-02-22,7220.0
2018-02-23,7260.0
2018-02-26,7320.0
2018-02-27,7350.0
2018-02-28,7250.0
2018-03-02,7150.0
2018-03-05,7190.0
2018-03-06,7120.0
2018-03-07,7140.0
2018-03-08,7050.0
2018-03-09,7040.0
2018-03-12,6990.0
2018-03-13,7050.0
2018-03-14,7065.0
2018-03-15,7145.0
2018-03-16,7085.0
2018-03-19,7065.0
2018-03-20,7015.0
2018-03-21,7020.0
2018-03-22,6925.0
2018-03-23,6975.0
2018-03-26,6865.0
2018-03-27,6785.0
2018-03-28,6790.0
2018-03-29,6795.0
2018-03-30,6795.0
2018-04-02,6835.0
2018-04-03,6810.0
2018-04-04,6845.0
2018-04-05,6780.0
2018-04-06,6865.0
2018-04-09,6915.0
2018-04-10,6985.0
2018-04-11,7040.0
2018-04-12,7085.0
2018-04-13,7085.0
2018-04-16,7035.0
2018-04-17,6995.0
2018-04-18,6995.0
2018-04-19,7095.0
2018-04-20,7060.0
2018-04-23,7140.0
2018-04-24,7195.0
2018-04-25,7190.0
2018-04-26,7190.0
2018-04-27,7115.0
2018-04-30,7010.0
2018-05-02,7085.0
2018-05-03,7020.0
2018-05-04,7105.0
2018-05-08,7040.0
2018-05-09,6980.0
2018-05-10,7025.0
2018-05-11,7035.0
2018-05-14,7055.0
2018-05-15,7030.0
2018-05-16,7070.0
2018-05-17,7060.0
2018-05-18,7060.0
2018-05-21,7085.0
2018-05-23,7115.0
2018-05-24,7060.0
2018-05-25,7070.0
2018-05-28,7095.0
2018-05-29,7125.0
2018-05-30,7035.0
2018-05-31,7040.0
2018-06-01,7055.0
2018-06-04,7000.0
2018-06-05,7130.0
2018-06-07,7385.0
2018-06-08,7420.0
2018-06-11,7460.0
