Date,TIGER 모멘텀
2016-09-05,20695.0
2016-09-06,20725.0
2016-09-07,20705.0
2016-09-08,20785.0
2016-09-09,20410.0
2016-09-12,20360.0
2016-09-13,20335.0
2016-09-19,20545.0
2016-09-20,20625.0
2016-09-21,20695.0
2016-09-22,20870.0
2016-09-23,21105.0
2016-09-26,21035.0
2016-09-27,21325.0
2016-09-28,21235.0
2016-09-29,21295.0
2016-09-30,21175.0
2016-10-04,21125.0
2016-10-05,21055.0
2016-10-06,20855.0
2016-10-07,20625.0
2016-10-10,20880.0
2016-10-11,20915.0
2016-10-12,20890.0
2016-10-13,20495.0
2016-10-14,20490.0
2016-10-17,20465.0
2016-10-18,20505.0
2016-10-19,20630.0
2016-10-20,20690.0
2016-10-21,20650.0
2016-10-24,20700.0
2016-10-25,20680.0
2016-10-26,20465.0
2016-10-27,20530.0
2016-10-28,20285.0
2016-10-31,20175.0
2016-11-01,20030.0
2016-11-02,19705.0
2016-11-03,19835.0
2016-11-04,19750.0
2016-11-07,20100.0
2016-11-08,20035.0
2016-11-09,19505.0
2016-11-10,20155.0
2016-11-11,20260.0
2016-11-14,20100.0
2016-11-15,20145.0
2016-11-16,20220.0
2016-11-17,20095.0
2016-11-18,20095.0
2016-11-21,20070.0
2016-11-22,20130.0
2016-11-23,20130.0
2016-11-24,20200.0
2016-11-25,20010.0
2016-11-28,19995.0
2016-11-29,20155.0
2016-11-30,20050.0
2016-12-01,20000.0
2016-12-02,19865.0
2016-12-05,19750.0
2016-12-06,19995.0
2016-12-07,19780.0
2016-12-08,20235.0
2016-12-09,20235.0
2016-12-12,20155.0
2016-12-13,20310.0
2016-12-14,20315.0
2016-12-15,20365.0
2016-12-16,20390.0
2016-12-19,20395.0
2016-12-20,20355.0
2016-12-21,20250.0
2016-12-22,20040.0
2016-12-23,20180.0
2016-12-26,20210.0
2016-12-27,20180.0
2016-12-28,20440.0
2016-12-29,20305.0
2017-01-02,20350.0
2017-01-03,20620.0
2017-01-04,20695.0
2017-01-05,20550.0
2017-01-06,20560.0
2017-01-09,20630.0
2017-01-10,20570.0
2017-01-11,20920.0
2017-01-12,20945.0
2017-01-13,20910.0
2017-01-16,20850.0
2017-01-17,20950.0
2017-01-18,20950.0
2017-01-19,20975.0
2017-01-20,20830.0
2017-01-23,20770.0
2017-01-24,20715.0
2017-01-25,20700.0
2017-01-26,20800.0
2017-01-31,20600.0
2017-02-01,20825.0
2017-02-02,20690.0
2017-02-03,20835.0
2017-02-06,20705.0
2017-02-07,20705.0
2017-02-08,20740.0
2017-02-09,20790.0
2017-02-10,20845.0
2017-02-13,21115.0
2017-02-14,21100.0
2017-02-15,21165.0
2017-02-16,20975.0
2017-02-17,21060.0
2017-02-20,20885.0
2017-02-21,20970.0
2017-02-22,21025.0
2017-02-23,21040.0
2017-02-24,20850.0
2017-02-27,20700.0
2017-02-28,20830.0
2017-03-02,20815.0
2017-03-03,20745.0
2017-03-06,20675.0
2017-03-07,20840.0
2017-03-08,20810.0
2017-03-09,20840.0
2017-03-10,20810.0
2017-03-13,20920.0
2017-03-14,20895.0
2017-03-15,20785.0
2017-03-16,20875.0
2017-03-17,21045.0
2017-03-20,20915.0
2017-03-21,20905.0
2017-03-22,20760.0
2017-03-23,20770.0
2017-03-24,20975.0
2017-03-27,20820.0
2017-03-28,20915.0
2017-03-29,20815.0
2017-03-30,21050.0
2017-03-31,21170.0
2017-04-03,21245.0
2017-04-04,21110.0
2017-04-05,21120.0
2017-04-06,21120.0
2017-04-07,21165.0
2017-04-10,20955.0
2017-04-11,21030.0
2017-04-12,21120.0
2017-04-13,21245.0
2017-04-14,21215.0
2017-04-17,21205.0
2017-04-18,21305.0
2017-04-19,21140.0
2017-04-20,21245.0
2017-04-21,21450.0
2017-04-24,21640.0
2017-04-25,21840.0
2017-04-26,21945.0
2017-04-27,21515.0
2017-04-28,21300.0
2017-05-02,21440.0
2017-05-04,21540.0
2017-05-08,21935.0
2017-05-10,21900.0
2017-05-11,22195.0
2017-05-12,22125.0
2017-05-15,22130.0
2017-05-16,22375.0
2017-05-17,22310.0
2017-05-18,22355.0
2017-05-19,22430.0
2017-05-22,22715.0
2017-05-23,22835.0
2017-05-24,22710.0
2017-05-25,22980.0
2017-05-26,23100.0
2017-05-29,23135.0
2017-05-30,23105.0
2017-05-31,23120.0
2017-06-01,22910.0
2017-06-02,23170.0
2017-06-05,23120.0
2017-06-07,23185.0
2017-06-08,23230.0
2017-06-09,23440.0
2017-06-12,23130.0
2017-06-13,23395.0
2017-06-14,23280.0
2017-06-15,23125.0
2017-06-16,23235.0
2017-06-19,23340.0
2017-06-20,23260.0
2017-06-21,23185.0
2017-06-22,23175.0
2017-06-23,23335.0
2017-06-26,23600.0
2017-06-27,23720.0
2017-06-28,23650.0
2017-06-29,23790.0
2017-06-30,23880.0
2017-07-03,23850.0
2017-07-04,23710.0
2017-07-05,23850.0
2017-07-06,23805.0
2017-07-07,23585.0
2017-07-10,23570.0
2017-07-11,23800.0
2017-07-12,23685.0
2017-07-13,23950.0
2017-07-14,23985.0
2017-07-17,24150.0
2017-07-18,24080.0
2017-07-19,23985.0
2017-07-20,24145.0
2017-07-21,24245.0
2017-07-24,24330.0
2017-07-25,24215.0
2017-07-26,24130.0
2017-07-27,24270.0
2017-07-28,23545.0
2017-07-31,23910.0
2017-08-01,24160.0
2017-08-02,24220.0
2017-08-03,23895.0
2017-08-04,24070.0
2017-08-07,24150.0
2017-08-08,24060.0
2017-08-09,23725.0
2017-08-10,23655.0
2017-08-11,23195.0
2017-08-14,23380.0
2017-08-16,23575.0
2017-08-17,23775.0
2017-08-18,23710.0
2017-08-21,23700.0
2017-08-22,23810.0
2017-08-23,23970.0
2017-08-24,23990.0
2017-08-25,24185.0
2017-08-28,24070.0
2017-08-29,23935.0
