Date,KODEX 구리선물(H)
2016-06-02,4570.0
2016-06-03,4580.0
2016-06-07,4640.0
2016-06-08,4555.0
2016-06-09,4585.0
2016-06-10,4500.0
2016-06-13,4535.0
2016-06-14,4535.0
2016-06-15,4510.0
2016-06-16,4575.0
2016-06-17,4550.0
2016-06-20,4555.0
2016-06-21,4590.0
2016-06-22,4640.0
2016-06-23,4670.0
2016-06-24,4630.0
2016-06-27,4650.0
2016-06-28,4740.0
2016-06-29,4745.0
2016-06-30,4815.0
2016-07-01,4815.0
2016-07-04,4920.0
2016-07-05,4825.0
2016-07-06,4810.0
2016-07-07,4725.0
2016-07-08,4650.0
2016-07-11,4730.0
2016-07-12,4725.0
2016-07-13,4955.0
2016-07-14,4915.0
2016-07-15,4920.0
2016-07-18,4890.0
2016-07-19,4895.0
2016-07-20,4930.0
2016-07-21,4960.0
2016-07-22,4925.0
2016-07-25,4905.0
2016-07-26,4870.0
2016-07-27,4875.0
2016-07-28,4865.0
2016-07-29,4840.0
2016-08-01,4910.0
2016-08-02,4845.0
2016-08-03,4840.0
2016-08-04,4810.0
2016-08-05,4795.0
2016-08-08,4790.0
2016-08-09,4735.0
2016-08-10,4720.0
2016-08-11,4790.0
2016-08-12,4795.0
2016-08-16,4725.0
2016-08-17,4770.0
2016-08-18,4765.0
2016-08-19,4760.0
2016-08-22,4740.0
2016-08-23,4725.0
2016-08-24,4635.0
2016-08-25,4590.0
2016-08-26,4600.0
2016-08-29,4570.0
2016-08-30,4555.0
2016-08-31,4550.0
2016-09-01,4585.0
2016-09-02,4575.0
2016-09-05,4570.0
2016-09-06,4575.0
2016-09-07,4605.0
2016-09-08,4590.0
2016-09-09,4585.0
2016-09-12,4540.0
2016-09-13,4570.0
2016-09-19,4660.0
2016-09-20,4690.0
2016-09-21,4710.0
2016-09-22,4730.0
2016-09-23,4755.0
2016-09-26,4780.0
2016-09-27,4755.0
2016-09-28,4730.0
2016-09-29,4785.0
2016-09-30,4760.0
2016-10-04,4770.0
2016-10-05,4730.0
2016-10-06,4730.0
2016-10-07,4675.0
2016-10-10,4730.0
2016-10-11,4770.0
2016-10-12,4750.0
2016-10-13,4720.0
2016-10-14,4660.0
2016-10-17,4630.0
2016-10-18,4640.0
2016-10-19,4605.0
2016-10-20,4610.0
2016-10-21,4590.0
2016-10-24,4590.0
2016-10-25,4635.0
2016-10-26,4650.0
2016-10-27,4670.0
2016-10-28,4720.0
2016-10-31,4755.0
2016-11-01,4810.0
2016-11-02,4800.0
2016-11-03,4845.0
2016-11-04,4870.0
2016-11-07,5005.0
2016-11-08,5010.0
2016-11-09,5150.0
