Date,TIGER 원유선물Enhanced(H)
2015-07-31,4945.0
2015-08-03,4885.0
2015-08-04,4780.0
2015-08-05,4800.0
2015-08-06,4750.0
2015-08-07,4750.0
2015-08-10,4665.0
2015-08-11,4770.0
2015-08-12,4680.0
2015-08-13,4745.0
2015-08-17,4700.0
2015-08-18,4645.0
2015-08-19,4600.0
2015-08-20,4480.0
2015-08-21,4340.0
2015-08-24,4200.0
2015-08-25,4175.0
2015-08-26,4235.0
2015-08-27,4290.0
2015-08-28,4635.0
2015-08-31,4610.0
2015-09-01,4825.0
2015-09-02,4580.0
2015-09-03,4675.0
2015-09-04,4700.0
2015-09-07,4660.0
2015-09-08,4600.0
2015-09-09,4735.0
2015-09-10,4580.0
2015-09-11,4635.0
2015-09-14,4595.0
2015-09-15,4520.0
2015-09-16,4575.0
2015-09-17,4675.0
2015-09-18,4660.0
2015-09-21,4570.0
2015-09-22,4610.0
2015-09-23,4615.0
2015-09-24,4605.0
2015-09-25,4625.0
2015-09-30,4535.0
2015-10-01,4600.0
2015-10-02,4550.0
2015-10-05,4570.0
2015-10-06,4640.0
2015-10-07,4820.0
2015-10-08,4755.0
2015-10-12,4860.0
2015-10-13,4725.0
2015-10-14,4680.0
2015-10-15,4695.0
2015-10-16,4705.0
2015-10-19,4710.0
2015-10-20,4635.0
2015-10-21,4640.0
2015-10-22,4590.0
2015-10-23,4630.0
2015-10-26,4575.0
2015-10-27,4505.0
2015-10-28,4455.0
2015-10-29,4585.0
2015-10-30,4605.0
2015-11-02,4645.0
2015-11-03,4645.0
2015-11-04,4735.0
2015-11-05,4660.0
2015-11-06,4645.0
2015-11-09,4595.0
2015-11-10,4565.0
2015-11-11,4545.0
2015-11-12,4470.0
2015-11-13,4380.0
2015-11-16,4360.0
2015-11-17,4375.0
2015-11-18,4325.0
2015-11-19,4370.0
2015-11-20,4340.0
2015-11-23,4280.0
2015-11-24,4375.0
2015-11-25,4475.0
2015-11-26,4475.0
2015-11-27,4390.0
2015-11-30,4350.0
2015-12-01,4390.0
2015-12-02,4335.0
2015-12-03,4290.0
2015-12-04,4335.0
2015-12-07,4230.0
2015-12-08,4115.0
2015-12-09,4110.0
2015-12-10,4090.0
2015-12-11,4060.0
2015-12-14,3940.0
2015-12-15,3925.0
2015-12-16,4000.0
2015-12-17,3895.0
2015-12-18,3885.0
2015-12-21,3800.0
2015-12-22,3805.0
2015-12-23,3780.0
2015-12-24,3835.0
2015-12-28,3880.0
2015-12-29,3845.0
2015-12-30,3875.0
2016-01-04,3965.0
2016-01-05,3920.0
2016-01-06,3865.0
2016-01-07,3655.0
2016-01-08,3700.0
2016-01-11,3605.0
2016-01-12,3415.0
2016-01-13,3430.0
2016-01-14,3355.0
2016-01-15,3375.0
2016-01-18,3215.0
2016-01-19,3260.0
2016-01-20,3135.0
2016-01-21,3115.0
2016-01-22,3305.0
2016-01-25,3445.0
2016-01-26,3300.0
2016-01-27,3425.0
2016-01-28,3460.0
2016-01-29,3615.0
2016-02-01,3615.0
2016-02-02,3520.0
2016-02-03,3450.0
2016-02-04,3575.0
2016-02-05,3600.0
2016-02-11,3350.0
2016-02-12,3400.0
2016-02-15,3485.0
2016-02-16,3580.0
2016-02-17,3420.0
2016-02-18,3555.0
2016-02-19,3510.0
2016-02-22,3480.0
2016-02-23,3495.0
2016-02-24,3405.0
2016-02-25,3470.0
2016-02-26,3485.0
2016-02-29,3490.0
2016-03-02,3550.0
2016-03-03,3555.0
2016-03-04,3600.0
2016-03-07,3765.0
2016-03-08,3800.0
2016-03-09,3745.0
2016-03-10,3810.0
2016-03-11,3840.0
2016-03-14,3810.0
2016-03-15,3710.0
2016-03-16,3705.0
2016-03-17,3805.0
2016-03-18,3855.0
2016-03-21,3810.0
2016-03-22,3880.0
2016-03-23,3875.0
2016-03-24,3810.0
2016-03-25,3775.0
2016-03-28,3810.0
2016-03-29,3770.0
2016-03-30,3760.0
2016-03-31,3720.0
2016-04-01,3705.0
2016-04-04,3625.0
2016-04-05,3540.0
2016-04-06,3595.0
2016-04-07,3680.0
2016-04-08,3665.0
2016-04-11,3775.0
2016-04-12,3845.0
2016-04-14,3920.0
2016-04-15,3920.0
2016-04-18,3695.0
2016-04-19,3810.0
2016-04-20,3825.0
2016-04-21,4045.0
2016-04-22,4015.0
2016-04-25,3985.0
2016-04-26,4000.0
2016-04-27,4090.0
2016-04-28,4135.0
2016-04-29,4220.0
2016-05-02,4145.0
2016-05-03,4130.0
2016-05-04,4045.0
2016-05-09,4140.0
2016-05-10,4030.0
2016-05-11,4090.0
2016-05-12,4215.0
2016-05-13,4255.0
2016-05-16,4300.0
2016-05-17,4385.0
2016-05-18,4405.0
2016-05-19,4310.0
2016-05-20,4400.0
2016-05-23,4335.0
2016-05-24,4330.0
2016-05-25,4430.0
2016-05-26,4480.0
2016-05-27,4425.0
2016-05-30,4425.0
2016-05-31,4470.0
2016-06-01,4410.0
2016-06-02,4425.0
2016-06-03,4440.0
2016-06-07,4480.0
2016-06-08,4565.0
2016-06-09,4650.0
2016-06-10,4580.0
2016-06-13,4450.0
2016-06-14,4430.0
2016-06-15,4355.0
2016-06-16,4315.0
2016-06-17,4290.0
2016-06-20,4420.0
2016-06-21,4465.0
2016-06-22,4510.0
2016-06-23,4470.0
2016-06-24,4310.0
2016-06-27,4325.0
2016-06-28,4285.0
2016-06-29,4395.0
2016-06-30,4480.0
2016-07-01,4425.0
2016-07-04,4480.0
2016-07-05,4405.0
2016-07-06,4315.0
2016-07-07,4340.0
2016-07-08,4235.0
2016-07-11,4230.0
2016-07-12,4215.0
2016-07-13,4270.0
2016-07-14,4230.0
2016-07-15,4220.0
2016-07-18,4245.0
2016-07-19,4185.0
2016-07-20,4185.0
2016-07-21,4225.0
2016-07-22,4170.0
2016-07-25,4120.0
2016-07-26,4085.0
2016-07-27,4060.0
2016-07-28,3960.0
2016-07-29,3890.0
2016-08-01,3960.0
2016-08-02,3865.0
2016-08-03,3810.0
2016-08-04,3885.0
2016-08-05,3915.0
2016-08-08,3935.0
2016-08-09,3955.0
2016-08-10,3955.0
2016-08-11,3935.0
2016-08-12,4045.0
2016-08-16,4130.0
2016-08-17,4200.0
2016-08-18,4245.0
2016-08-19,4365.0
2016-08-22,4300.0
2016-08-23,4235.0
2016-08-24,4250.0
2016-08-25,4245.0
2016-08-26,4260.0
2016-08-29,4245.0
2016-08-30,4255.0
2016-08-31,4195.0
2016-09-01,4100.0
2016-09-02,4005.0
2016-09-05,4070.0
2016-09-06,4105.0
2016-09-07,4095.0
2016-09-08,4200.0
2016-09-09,4255.0
2016-09-12,4105.0
2016-09-13,4145.0
2016-09-19,4105.0
2016-09-20,4045.0
2016-09-21,4090.0
2016-09-22,4110.0
2016-09-23,4105.0
2016-09-26,4080.0
2016-09-27,4110.0
2016-09-28,4075.0
2016-09-29,4200.0
2016-09-30,4180.0
2016-10-04,4280.0
2016-10-05,4335.0
2016-10-06,4370.0
2016-10-07,4415.0
2016-10-10,4335.0
2016-10-11,4430.0
2016-10-12,4425.0
2016-10-13,4340.0
2016-10-14,4400.0
2016-10-17,4375.0
2016-10-18,4395.0
2016-10-19,4430.0
2016-10-20,4435.0
2016-10-21,4390.0
2016-10-24,4415.0
2016-10-25,4435.0
2016-10-26,4365.0
2016-10-27,4330.0
2016-10-28,4345.0
2016-10-31,4270.0
2016-11-01,4210.0
2016-11-02,4165.0
2016-11-03,4140.0
2016-11-04,4090.0
2016-11-07,4080.0
2016-11-08,4085.0
2016-11-09,4020.0
2016-11-10,4115.0
2016-11-11,4075.0
2016-11-14,4000.0
2016-11-15,4015.0
2016-11-16,4120.0
2016-11-17,4070.0
2016-11-18,4055.0
2016-11-21,4140.0
2016-11-22,4300.0
2016-11-23,4225.0
2016-11-24,4235.0
2016-11-25,4180.0
2016-11-28,4115.0
2016-11-29,4150.0
2016-11-30,4100.0
2016-12-01,4355.0
2016-12-02,4355.0
2016-12-05,4445.0
2016-12-06,4490.0
2016-12-07,4440.0
2016-12-08,4400.0
2016-12-09,4450.0
2016-12-12,4600.0
2016-12-13,4550.0
2016-12-14,4515.0
2016-12-15,4500.0
2016-12-16,4480.0
2016-12-19,4550.0
2016-12-20,4515.0
2016-12-21,4595.0
2016-12-22,4545.0
2016-12-23,4555.0
2016-12-26,4535.0
2016-12-27,4565.0
2016-12-28,4620.0
2016-12-29,4640.0
2017-01-02,4615.0
2017-01-03,4675.0
2017-01-04,4605.0
2017-01-05,4640.0
2017-01-06,4650.0
2017-01-09,4670.0
2017-01-10,4585.0
2017-01-11,4515.0
2017-01-12,4570.0
2017-01-13,4635.0
2017-01-16,4610.0
2017-01-17,4590.0
2017-01-18,4590.0
2017-01-19,4530.0
2017-01-20,4505.0
2017-01-23,4550.0
2017-01-24,4545.0
2017-01-25,4530.0
2017-01-26,4540.0
2017-01-31,4490.0
2017-02-01,4495.0
2017-02-02,4550.0
2017-02-03,4560.0
2017-02-06,4590.0
2017-02-07,4525.0
2017-02-08,4450.0
2017-02-09,4470.0
2017-02-10,4500.0
2017-02-13,4555.0
2017-02-14,4500.0
2017-02-15,4470.0
2017-02-16,4475.0
2017-02-17,4430.0
2017-02-20,4490.0
2017-02-21,4480.0
2017-02-22,4480.0
2017-02-23,4465.0
2017-02-24,4495.0
2017-02-27,4485.0
2017-02-28,4490.0
2017-03-02,4460.0
2017-03-03,4410.0
2017-03-06,4440.0
2017-03-07,4450.0
2017-03-08,4425.0
2017-03-09,4300.0
2017-03-10,4215.0
2017-03-13,4095.0
2017-03-14,4120.0
2017-03-15,4130.0
2017-03-16,4160.0
2017-03-17,4120.0
2017-03-20,4090.0
2017-03-21,4115.0
2017-03-22,4060.0
2017-03-23,4095.0
2017-03-24,4045.0
2017-03-27,4035.0
2017-03-28,4065.0
2017-03-29,4075.0
2017-03-30,4135.0
2017-03-31,4190.0
2017-04-03,4235.0
2017-04-04,4190.0
2017-04-05,4310.0
2017-04-06,4265.0
2017-04-07,4365.0
2017-04-10,4360.0
2017-04-11,4430.0
2017-04-12,4450.0
2017-04-13,4445.0
2017-04-14,4355.0
2017-04-17,4410.0
2017-04-18,4415.0
2017-04-19,4385.0
2017-04-20,4280.0
2017-04-21,4265.0
2017-04-24,4205.0
2017-04-25,4155.0
2017-04-26,4155.0
2017-04-27,4145.0
2017-04-28,4150.0
2017-05-02,4090.0
2017-05-04,4020.0
2017-05-08,3960.0
2017-05-10,3915.0
2017-05-11,4030.0
2017-05-12,4045.0
2017-05-15,4080.0
2017-05-16,4105.0
2017-05-17,4060.0
2017-05-18,4090.0
2017-05-19,4135.0
2017-05-22,4215.0
2017-05-23,4200.0
2017-05-24,4250.0
2017-05-25,4260.0
2017-05-26,4045.0
2017-05-29,4105.0
2017-05-30,4100.0
2017-05-31,4075.0
2017-06-01,4045.0
2017-06-02,3980.0
2017-06-05,4000.0
2017-06-07,3970.0
2017-06-08,3850.0
2017-06-09,3815.0
2017-06-12,3850.0
2017-06-13,3865.0
2017-06-14,3835.0
2017-06-15,3750.0
