Date,KODEX 은행
2016-04-15,6305.0
2016-04-18,6350.0
2016-04-19,6420.0
2016-04-20,6470.0
2016-04-21,6535.0
2016-04-22,6565.0
2016-04-25,6600.0
2016-04-26,6535.0
2016-04-27,6550.0
2016-04-28,6275.0
2016-04-29,6235.0
2016-05-02,6065.0
2016-05-03,6055.0
2016-05-04,5975.0
2016-05-09,5895.0
2016-05-10,5975.0
2016-05-11,6005.0
2016-05-12,5965.0
2016-05-13,5880.0
2016-05-16,5895.0
2016-05-17,5850.0
2016-05-18,5845.0
2016-05-19,6020.0
2016-05-20,5910.0
2016-05-23,5890.0
2016-05-24,5840.0
2016-05-25,5970.0
2016-05-26,5945.0
2016-05-27,5975.0
2016-05-30,5920.0
2016-05-31,6030.0
2016-06-01,5975.0
2016-06-02,5940.0
2016-06-03,5920.0
2016-06-07,5985.0
2016-06-08,6090.0
2016-06-09,6175.0
2016-06-10,6090.0
2016-06-13,5985.0
2016-06-14,5925.0
2016-06-15,5780.0
2016-06-16,5760.0
2016-06-17,5760.0
2016-06-20,5925.0
2016-06-21,5870.0
2016-06-22,5935.0
2016-06-23,5980.0
2016-06-24,5710.0
2016-06-27,5620.0
2016-06-28,5630.0
2016-06-29,5700.0
2016-06-30,5715.0
2016-07-01,5725.0
2016-07-04,5750.0
2016-07-05,5700.0
2016-07-06,5585.0
2016-07-07,5640.0
2016-07-08,5575.0
2016-07-11,5650.0
2016-07-12,5740.0
2016-07-13,5820.0
2016-07-14,5765.0
2016-07-15,5910.0
2016-07-18,5890.0
2016-07-19,5935.0
2016-07-20,5900.0
2016-07-21,5925.0
2016-07-22,6035.0
2016-07-25,6260.0
2016-07-26,6275.0
2016-07-27,6305.0
2016-07-28,6240.0
2016-07-29,6220.0
2016-08-01,6245.0
2016-08-02,6180.0
2016-08-03,6110.0
2016-08-04,6100.0
2016-08-05,6185.0
2016-08-08,6340.0
2016-08-09,6445.0
2016-08-10,6405.0
2016-08-11,6375.0
2016-08-12,6390.0
2016-08-16,6395.0
2016-08-17,6375.0
2016-08-18,6310.0
2016-08-19,6290.0
2016-08-22,6300.0
2016-08-23,6365.0
2016-08-24,6290.0
2016-08-25,6400.0
2016-08-26,6310.0
2016-08-29,6450.0
2016-08-30,6485.0
2016-08-31,6495.0
2016-09-01,6580.0
2016-09-02,6510.0
2016-09-05,6555.0
2016-09-06,6545.0
2016-09-07,6610.0
2016-09-08,6580.0
2016-09-09,6610.0
2016-09-12,6610.0
2016-09-13,6445.0
2016-09-19,6435.0
2016-09-20,6405.0
2016-09-21,6520.0
2016-09-22,6440.0
2016-09-23,6475.0
2016-09-26,6480.0
2016-09-27,6510.0
2016-09-28,6460.0
2016-09-29,6495.0
2016-09-30,6415.0
2016-10-04,6485.0
2016-10-05,6450.0
2016-10-06,6485.0
2016-10-07,6445.0
2016-10-10,6595.0
2016-10-11,6710.0
2016-10-12,6710.0
2016-10-13,6645.0
2016-10-14,6665.0
2016-10-17,6760.0
2016-10-18,6960.0
2016-10-19,7005.0
2016-10-20,7040.0
2016-10-21,7080.0
2016-10-24,7245.0
2016-10-25,7255.0
2016-10-26,7110.0
2016-10-27,7105.0
2016-10-28,7065.0
2016-10-31,7140.0
2016-11-01,7055.0
2016-11-02,6950.0
2016-11-03,6975.0
2016-11-04,6970.0
2016-11-07,6985.0
2016-11-08,6970.0
2016-11-09,6875.0
2016-11-10,7175.0
2016-11-11,7310.0
2016-11-14,7170.0
2016-11-15,7160.0
2016-11-16,7110.0
2016-11-17,6995.0
2016-11-18,7055.0
2016-11-21,6960.0
2016-11-22,6965.0
2016-11-23,7105.0
2016-11-24,7090.0
2016-11-25,7060.0
2016-11-28,7015.0
2016-11-29,6995.0
2016-11-30,7055.0
2016-12-01,7040.0
2016-12-02,7055.0
2016-12-05,7020.0
2016-12-06,6995.0
2016-12-07,7130.0
2016-12-08,7365.0
2016-12-09,7315.0
2016-12-12,7390.0
2016-12-13,7290.0
2016-12-14,7290.0
2016-12-15,7265.0
2016-12-16,7430.0
2016-12-19,7390.0
2016-12-20,7400.0
2016-12-21,7370.0
2016-12-22,7340.0
2016-12-23,7290.0
2016-12-26,7295.0
2016-12-27,7270.0
2016-12-28,7325.0
2016-12-29,7240.0
2017-01-02,7220.0
2017-01-03,7310.0
2017-01-04,7345.0
2017-01-05,7175.0
2017-01-06,7235.0
2017-01-09,7210.0
2017-01-10,7195.0
2017-01-11,7265.0
2017-01-12,7305.0
2017-01-13,7250.0
2017-01-16,7410.0
2017-01-17,7510.0
2017-01-18,7545.0
2017-01-19,7515.0
2017-01-20,7500.0
2017-01-23,7395.0
2017-01-24,7385.0
2017-01-25,7515.0
2017-01-26,7620.0
2017-01-31,7615.0
2017-02-01,7690.0
2017-02-02,7670.0
2017-02-03,7710.0
2017-02-06,7765.0
2017-02-07,7730.0
2017-02-08,7725.0
2017-02-09,7805.0
2017-02-10,7865.0
2017-02-13,7840.0
2017-02-14,7880.0
2017-02-15,7780.0
2017-02-16,7735.0
2017-02-17,7800.0
2017-02-20,7745.0
2017-02-21,7795.0
2017-02-22,7785.0
2017-02-23,7795.0
2017-02-24,7765.0
2017-02-27,7555.0
2017-02-28,7680.0
2017-03-02,7820.0
2017-03-03,7765.0
2017-03-06,7705.0
2017-03-07,7775.0
2017-03-08,7895.0
2017-03-09,7850.0
2017-03-10,7905.0
2017-03-13,8145.0
2017-03-14,8250.0
2017-03-15,8265.0
2017-03-16,8240.0
2017-03-17,8320.0
2017-03-20,8210.0
2017-03-21,8140.0
2017-03-22,7980.0
2017-03-23,8095.0
