Date,KBSTAR 중기우량회사채
2016-08-16,104335.0
2016-08-17,104325.0
2016-08-18,104375.0
2016-08-19,104350.0
2016-08-22,104315.0
2016-08-23,104360.0
2016-08-24,104390.0
2016-08-25,104285.0
2016-08-26,104285.0
2016-08-29,104305.0
2016-08-30,104295.0
2016-08-31,104190.0
2016-09-01,104185.0
2016-09-02,104160.0
2016-09-05,104205.0
2016-09-06,104225.0
2016-09-07,104220.0
2016-09-08,104300.0
2016-09-09,104180.0
2016-09-12,104085.0
2016-09-13,104090.0
2016-09-19,104105.0
2016-09-20,104115.0
2016-09-21,104130.0
2016-09-22,104245.0
2016-09-23,104155.0
2016-09-26,104200.0
2016-09-27,104185.0
2016-09-28,104110.0
2016-09-29,104180.0
2016-09-30,104310.0
2016-10-04,104145.0
2016-10-05,104140.0
2016-10-06,104050.0
2016-10-07,104030.0
2016-10-10,104000.0
2016-10-11,104000.0
2016-10-12,103890.0
2016-10-13,104110.0
2016-10-14,104060.0
2016-10-17,103970.0
2016-10-18,103850.0
2016-10-19,103970.0
2016-10-20,103930.0
2016-10-21,103880.0
2016-10-24,103750.0
2016-10-25,103820.0
2016-10-26,103715.0
2016-10-27,103715.0
2016-10-28,103585.0
2016-10-31,103660.0
2016-11-01,103660.0
2016-11-02,103655.0
2016-11-03,103685.0
2016-11-04,103750.0
2016-11-07,103635.0
2016-11-08,103805.0
2016-11-09,103850.0
2016-11-10,103650.0
2016-11-11,103575.0
2016-11-14,103405.0
2016-11-15,103325.0
2016-11-16,103255.0
2016-11-17,103020.0
2016-11-18,103085.0
2016-11-21,103020.0
2016-11-22,103080.0
2016-11-23,102985.0
2016-11-24,102845.0
2016-11-25,102905.0
2016-11-28,102885.0
2016-11-29,103080.0
2016-11-30,103090.0
2016-12-01,102985.0
2016-12-02,103045.0
2016-12-05,103000.0
2016-12-06,103145.0
2016-12-07,101925.0
2016-12-08,101995.0
2016-12-09,101885.0
2016-12-12,101955.0
2016-12-13,101945.0
2016-12-14,102165.0
2016-12-15,102090.0
2016-12-16,102120.0
2016-12-19,102125.0
2016-12-20,102110.0
2016-12-21,102080.0
2016-12-22,102190.0
2016-12-23,102265.0
2016-12-26,102260.0
2016-12-27,102260.0
2016-12-28,102380.0
2016-12-29,102460.0
2017-01-02,102420.0
2017-01-03,102500.0
2017-01-04,102500.0
2017-01-05,102590.0
2017-01-06,102590.0
2017-01-09,102525.0
2017-01-10,102565.0
2017-01-11,102590.0
2017-01-12,102655.0
2017-01-13,102640.0
2017-01-16,102685.0
2017-01-17,102695.0
2017-01-18,102690.0
2017-01-19,102630.0
2017-01-20,102685.0
2017-01-23,102735.0
2017-01-24,102755.0
2017-01-25,102755.0
2017-01-26,102650.0
2017-01-31,102715.0
2017-02-01,102725.0
2017-02-02,102740.0
2017-02-03,102730.0
2017-02-06,102780.0
2017-02-07,102870.0
2017-02-08,102850.0
2017-02-09,102895.0
2017-02-10,102835.0
2017-02-13,102865.0
2017-02-14,102885.0
2017-02-15,102870.0
2017-02-16,102875.0
2017-02-17,102875.0
2017-02-20,102850.0
2017-02-21,102850.0
2017-02-22,102785.0
2017-02-23,102845.0
2017-02-24,102915.0
2017-02-27,102915.0
2017-02-28,102900.0
2017-03-02,102765.0
2017-03-03,102785.0
2017-03-06,102715.0
2017-03-07,102640.0
2017-03-08,102655.0
2017-03-09,102640.0
2017-03-10,102660.0
2017-03-13,102700.0
2017-03-14,102715.0
2017-03-15,102750.0
2017-03-16,102890.0
2017-03-17,102900.0
2017-03-20,102915.0
2017-03-21,102970.0
2017-03-22,102920.0
2017-03-23,102930.0
2017-03-24,102890.0
2017-03-27,102985.0
2017-03-28,102960.0
2017-03-29,102950.0
2017-03-30,102950.0
2017-03-31,103030.0
2017-04-03,103020.0
2017-04-04,103045.0
2017-04-05,103065.0
2017-04-06,103070.0
2017-04-07,103040.0
2017-04-10,102935.0
2017-04-11,103015.0
2017-04-12,102995.0
2017-04-13,103075.0
2017-04-14,103095.0
2017-04-17,103130.0
2017-04-18,103110.0
2017-04-19,103160.0
2017-04-20,103115.0
2017-04-21,103115.0
2017-04-24,103085.0
2017-04-25,103115.0
2017-04-26,103135.0
2017-04-27,103180.0
2017-04-28,103165.0
2017-05-02,103115.0
2017-05-04,103150.0
2017-05-08,103110.0
2017-05-10,103090.0
2017-05-11,103115.0
2017-05-12,103095.0
2017-05-15,103185.0
2017-05-16,103095.0
2017-05-17,103200.0
2017-05-18,103220.0
2017-05-19,103250.0
2017-05-22,103285.0
2017-05-23,103225.0
2017-05-24,103230.0
2017-05-25,103285.0
2017-05-26,103310.0
2017-05-29,103275.0
2017-05-30,103355.0
2017-05-31,103360.0
2017-06-01,103340.0
2017-06-02,103425.0
2017-06-05,103385.0
2017-06-07,102310.0
2017-06-08,102295.0
2017-06-09,102300.0
2017-06-12,102240.0
2017-06-13,102260.0
2017-06-14,102280.0
2017-06-15,102170.0
2017-06-16,102265.0
2017-06-19,102325.0
2017-06-20,102335.0
2017-06-21,102270.0
2017-06-22,102335.0
2017-06-23,102345.0
2017-06-26,102350.0
2017-06-27,102300.0
2017-06-28,102215.0
2017-06-29,102255.0
2017-06-30,102345.0
2017-07-03,102275.0
2017-07-04,102270.0
2017-07-05,102290.0
2017-07-06,102265.0
2017-07-07,102200.0
2017-07-10,102235.0
2017-07-11,102275.0
2017-07-12,102275.0
2017-07-13,102365.0
2017-07-14,102330.0
2017-07-17,102360.0
2017-07-18,102355.0
2017-07-19,102355.0
2017-07-20,102420.0
2017-07-21,102445.0
2017-07-24,102485.0
2017-07-25,102505.0
2017-07-26,102465.0
2017-07-27,102510.0
2017-07-28,102500.0
2017-07-31,102490.0
2017-08-01,102485.0
2017-08-02,102465.0
2017-08-03,102465.0
2017-08-04,102480.0
2017-08-07,102455.0
2017-08-08,102375.0
2017-08-09,102300.0
2017-08-10,102325.0
2017-08-11,102330.0
2017-08-14,102365.0
2017-08-16,102360.0
2017-08-17,102435.0
2017-08-18,102505.0
2017-08-21,102490.0
2017-08-22,102425.0
2017-08-23,102460.0
2017-08-24,102480.0
2017-08-25,102600.0
2017-08-28,102580.0
2017-08-29,102565.0
2017-08-30,102635.0
2017-08-31,102695.0
2017-09-01,102695.0
2017-09-04,102620.0
2017-09-05,102620.0
2017-09-06,102660.0
2017-09-07,102575.0
2017-09-08,102625.0
2017-09-11,102695.0
2017-09-12,102620.0
2017-09-13,102755.0
2017-09-14,102660.0
2017-09-15,102665.0
2017-09-18,102795.0
2017-09-19,102620.0
2017-09-20,102600.0
2017-09-21,102600.0
2017-09-22,102615.0
2017-09-25,102655.0
2017-09-26,102595.0
2017-09-27,102490.0
2017-09-28,102450.0
2017-09-29,102535.0
2017-10-10,102435.0
2017-10-11,102490.0
2017-10-12,102575.0
2017-10-13,102560.0
2017-10-16,102555.0
2017-10-17,102500.0
2017-10-18,102425.0
2017-10-19,102295.0
2017-10-20,102080.0
2017-10-23,102275.0
2017-10-24,102095.0
2017-10-25,102140.0
2017-10-26,101950.0
2017-10-27,101790.0
2017-10-30,101895.0
2017-10-31,102030.0
2017-11-01,102010.0
2017-11-02,102080.0
2017-11-03,102080.0
2017-11-06,102010.0
2017-11-07,102050.0
2017-11-08,102005.0
