Date,TIGER 베타플러스
2015-05-26,11750.0
2015-05-27,11515.0
2015-05-28,11550.0
2015-05-29,11595.0
2015-06-01,11510.0
2015-06-02,11480.0
2015-06-03,11285.0
2015-06-04,11285.0
2015-06-05,11220.0
2015-06-08,11230.0
2015-06-09,11225.0
2015-06-10,11150.0
2015-06-11,11110.0
2015-06-12,11080.0
2015-06-15,11020.0
2015-06-16,10940.0
2015-06-17,10925.0
2015-06-18,10925.0
2015-06-19,10925.0
2015-06-22,11035.0
2015-06-23,11120.0
2015-06-24,11160.0
2015-06-25,11165.0
2015-06-26,11080.0
2015-06-29,11060.0
2015-06-30,11060.0
2015-07-01,11105.0
2015-07-02,11105.0
2015-07-03,11070.0
2015-07-06,10990.0
2015-07-07,10855.0
2015-07-08,10885.0
2015-07-09,10780.0
2015-07-10,10780.0
2015-07-13,10840.0
2015-07-14,10885.0
2015-07-15,10880.0
2015-07-16,10895.0
2015-07-17,10895.0
2015-07-20,10815.0
2015-07-21,10805.0
2015-07-22,10745.0
2015-07-23,10745.0
2015-07-24,10650.0
2015-07-27,10625.0
2015-07-28,10685.0
2015-07-29,10710.0
2015-07-30,10655.0
2015-07-31,10655.0
2015-08-03,10630.0
2015-08-04,10675.0
2015-08-05,10675.0
2015-08-06,10540.0
2015-08-07,10535.0
2015-08-10,10465.0
2015-08-11,10465.0
2015-08-12,10415.0
2015-08-13,10415.0
2015-08-17,10335.0
2015-08-18,10335.0
2015-08-19,10330.0
2015-08-20,10260.0
2015-08-21,10060.0
2015-08-24,9705.0
2015-08-25,9820.0
2015-08-26,9995.0
2015-08-27,10030.0
2015-08-28,10190.0
2015-08-31,10205.0
2015-09-01,10095.0
2015-09-02,10095.0
2015-09-03,10100.0
2015-09-04,10070.0
2015-09-07,10045.0
2015-09-08,10045.0
2015-09-09,10295.0
2015-09-10,10395.0
2015-09-11,10280.0
2015-09-14,10265.0
2015-09-15,10245.0
2015-09-16,10420.0
2015-09-17,10450.0
2015-09-18,10545.0
2015-09-21,10360.0
2015-09-22,10380.0
2015-09-23,10240.0
2015-09-24,10220.0
2015-09-25,10210.0
2015-09-30,10325.0
2015-10-01,10400.0
2015-10-02,10395.0
2015-10-05,10415.0
2015-10-06,10440.0
2015-10-07,10585.0
2015-10-08,10650.0
2015-10-12,10745.0
2015-10-13,10695.0
2015-10-14,10580.0
2015-10-15,10745.0
2015-10-16,10730.0
2015-10-19,10730.0
2015-10-20,10775.0
2015-10-21,10840.0
2015-10-22,10760.0
2015-10-23,10855.0
2015-10-26,10890.0
2015-10-27,10890.0
2015-10-28,10890.0
2015-10-29,10965.0
2015-10-30,10920.0
2015-11-02,10950.0
2015-11-03,11035.0
2015-11-04,11080.0
2015-11-05,11080.0
2015-11-06,11040.0
2015-11-09,11040.0
2015-11-10,10935.0
2015-11-11,10920.0
2015-11-12,10905.0
2015-11-13,10785.0
2015-11-16,10610.0
2015-11-17,10675.0
2015-11-18,10670.0
2015-11-19,10700.0
2015-11-20,10750.0
2015-11-23,10750.0
2015-11-24,10810.0
2015-11-25,10820.0
2015-11-26,10935.0
2015-11-27,10920.0
2015-11-30,10925.0
2015-12-01,10925.0
2015-12-02,10855.0
2015-12-03,10745.0
2015-12-04,10650.0
2015-12-07,10625.0
2015-12-08,10495.0
2015-12-09,10475.0
2015-12-10,10495.0
2015-12-11,10475.0
2015-12-14,10380.0
2015-12-15,10380.0
2015-12-16,10535.0
2015-12-17,10560.0
2015-12-18,10540.0
2015-12-21,10540.0
2015-12-22,10630.0
2015-12-23,10690.0
2015-12-24,10640.0
2015-12-28,10510.0
2015-12-29,10570.0
2015-12-30,10610.0
2016-01-04,10420.0
2016-01-05,10410.0
2016-01-06,10280.0
2016-01-07,10190.0
2016-01-08,10190.0
2016-01-11,10060.0
2016-01-12,10030.0
2016-01-13,10070.0
2016-01-14,9995.0
2016-01-15,10035.0
2016-01-18,9815.0
2016-01-19,9900.0
2016-01-20,9650.0
2016-01-21,9680.0
2016-01-22,9850.0
2016-01-25,9960.0
2016-01-26,9880.0
2016-01-27,9945.0
2016-01-28,9945.0
2016-01-29,9960.0
2016-02-01,10005.0
2016-02-02,9925.0
2016-02-03,9855.0
2016-02-04,9970.0
2016-02-05,10010.0
2016-02-11,9770.0
2016-02-12,9650.0
2016-02-15,9825.0
2016-02-16,9950.0
2016-02-17,10030.0
2016-02-18,10140.0
2016-02-19,10140.0
2016-02-22,10145.0
2016-02-23,10145.0
2016-02-24,10145.0
2016-02-25,10200.0
2016-02-26,10150.0
2016-02-29,10145.0
2016-03-02,10310.0
2016-03-03,10375.0
2016-03-04,10415.0
2016-03-07,10415.0
2016-03-08,10365.0
2016-03-09,10365.0
2016-03-10,10455.0
2016-03-11,10565.0
2016-03-14,10540.0
2016-03-15,10540.0
2016-03-16,10540.0
2016-03-17,10645.0
2016-03-18,10645.0
2016-03-21,10590.0
2016-03-22,10625.0
2016-03-23,10720.0
2016-03-24,10675.0
2016-03-25,10650.0
2016-03-28,10635.0
2016-03-29,10645.0
2016-03-30,10685.0
2016-03-31,10685.0
2016-04-01,10505.0
2016-04-04,10580.0
2016-04-05,10530.0
2016-04-06,10560.0
2016-04-07,10560.0
2016-04-08,10560.0
2016-04-11,10560.0
2016-04-12,10590.0
2016-04-14,10785.0
2016-04-15,10785.0
2016-04-18,10830.0
2016-04-19,10830.0
2016-04-20,10795.0
2016-04-21,10890.0
2016-04-22,10890.0
2016-04-25,10890.0
2016-04-26,10900.0
2016-04-27,10900.0
2016-04-28,10650.0
2016-04-29,10540.0
2016-05-02,10470.0
2016-05-03,10470.0
2016-05-04,10435.0
2016-05-09,10365.0
2016-05-10,10385.0
2016-05-11,10385.0
2016-05-12,10370.0
2016-05-13,10330.0
2016-05-16,10295.0
2016-05-17,10280.0
2016-05-18,10225.0
2016-05-19,10225.0
2016-05-20,10200.0
2016-05-23,10235.0
2016-05-24,10195.0
2016-05-25,10280.0
2016-05-26,10280.0
2016-05-27,10330.0
2016-05-30,10330.0
2016-05-31,10415.0
2016-06-01,10455.0
2016-06-02,10520.0
2016-06-03,10520.0
2016-06-07,10635.0
2016-06-08,10735.0
2016-06-09,10745.0
2016-06-10,10745.0
2016-06-13,10560.0
2016-06-14,10550.0
2016-06-15,10480.0
2016-06-16,10480.0
2016-06-17,10475.0
2016-06-20,10645.0
2016-06-21,10640.0
2016-06-22,10705.0
2016-06-23,10725.0
2016-06-24,10330.0
2016-06-27,10415.0
2016-06-28,10415.0
2016-06-29,10520.0
2016-06-30,10630.0
2016-07-01,10745.0
2016-07-04,10745.0
2016-07-05,10745.0
2016-07-06,10545.0
2016-07-07,10620.0
2016-07-08,10595.0
2016-07-11,10650.0
2016-07-12,10695.0
2016-07-13,10785.0
2016-07-14,10790.0
2016-07-15,10870.0
2016-07-18,10870.0
2016-07-19,10870.0
2016-07-20,10830.0
2016-07-21,10845.0
2016-07-22,10840.0
2016-07-25,10820.0
2016-07-26,10925.0
2016-07-27,10925.0
2016-07-28,10920.0
2016-07-29,10910.0
2016-08-01,10920.0
2016-08-02,10880.0
2016-08-03,10790.0
2016-08-04,10790.0
2016-08-05,10790.0
2016-08-08,10965.0
2016-08-09,11080.0
2016-08-10,11070.0
2016-08-11,11105.0
2016-08-12,11185.0
2016-08-16,11185.0
2016-08-17,11065.0
2016-08-18,11180.0
2016-08-19,11220.0
2016-08-22,11255.0
2016-08-23,11300.0
2016-08-24,11300.0
2016-08-25,11300.0
2016-08-26,11255.0
2016-08-29,11255.0
2016-08-30,11260.0
2016-08-31,11260.0
2016-09-01,11240.0
2016-09-02,11240.0
2016-09-05,11360.0
2016-09-06,11415.0
2016-09-07,11420.0
2016-09-08,11420.0
2016-09-09,11360.0
2016-09-12,11045.0
2016-09-13,11065.0
2016-09-19,11110.0
2016-09-20,11225.0
2016-09-21,11230.0
2016-09-22,11400.0
2016-09-23,11395.0
2016-09-26,11345.0
2016-09-27,11345.0
2016-09-28,11345.0
2016-09-29,11400.0
2016-09-30,11370.0
2016-10-04,11375.0
2016-10-05,11425.0
2016-10-06,11505.0
2016-10-07,11470.0
2016-10-10,11470.0
2016-10-11,11290.0
2016-10-12,11295.0
2016-10-13,11200.0
2016-10-14,11245.0
2016-10-17,11245.0
2016-10-18,11375.0
2016-10-19,11380.0
2016-10-20,11360.0
2016-10-21,11350.0
2016-10-24,11440.0
2016-10-25,11415.0
2016-10-26,11310.0
2016-10-27,11365.0
2016-10-28,11300.0
2016-10-31,11380.0
2016-11-01,11305.0
2016-11-02,11225.0
2016-11-03,11155.0
2016-11-04,11155.0
2016-11-07,11245.0
2016-11-08,11280.0
2016-11-09,10975.0
2016-11-10,11240.0
2016-11-11,11140.0
2016-11-14,11005.0
2016-11-15,10965.0
2016-11-16,10985.0
2016-11-17,10995.0
2016-11-18,10975.0
2016-11-21,10975.0
2016-11-22,11130.0
2016-11-23,11145.0
2016-11-24,11130.0
2016-11-25,11145.0
2016-11-28,11145.0
2016-11-29,11150.0
2016-11-30,11220.0
2016-12-01,11235.0
2016-12-02,11195.0
2016-12-05,11165.0
2016-12-06,11275.0
2016-12-07,11315.0
2016-12-08,11445.0
2016-12-09,11580.0
2016-12-12,11580.0
2016-12-13,11580.0
2016-12-14,11615.0
2016-12-15,11565.0
2016-12-16,11630.0
2016-12-19,11630.0
2016-12-20,11630.0
2016-12-21,11630.0
2016-12-22,11665.0
2016-12-23,11665.0
2016-12-26,11660.0
2016-12-27,11680.0
2016-12-28,11790.0
2016-12-29,11775.0
2017-01-02,11850.0
2017-01-03,12000.0
