Date,KODEX 국채선물10년
2016-09-07,68650.0
2016-09-08,68590.0
2016-09-09,68300.0
2016-09-12,68035.0
2016-09-13,68015.0
2016-09-19,67955.0
2016-09-20,67960.0
2016-09-21,67895.0
2016-09-22,68265.0
2016-09-23,68395.0
2016-09-26,68430.0
2016-09-27,68445.0
2016-09-28,68570.0
2016-09-29,68600.0
2016-09-30,69000.0
2016-10-04,68670.0
2016-10-05,68355.0
2016-10-06,68200.0
2016-10-07,68255.0
2016-10-10,68140.0
2016-10-11,67760.0
2016-10-12,67895.0
2016-10-13,68190.0
2016-10-14,68165.0
2016-10-17,67765.0
2016-10-18,67820.0
2016-10-19,67820.0
2016-10-20,67815.0
2016-10-21,67750.0
2016-10-24,67795.0
2016-10-25,67645.0
2016-10-26,67765.0
2016-10-27,67505.0
2016-10-28,67190.0
2016-10-31,67430.0
2016-11-01,67135.0
2016-11-02,67385.0
2016-11-03,67450.0
2016-11-04,67340.0
2016-11-07,67320.0
2016-11-08,67315.0
2016-11-09,67650.0
2016-11-10,66700.0
2016-11-11,66055.0
2016-11-14,65480.0
2016-11-15,65450.0
2016-11-16,65415.0
2016-11-17,65270.0
2016-11-18,64990.0
2016-11-21,65055.0
2016-11-22,65090.0
2016-11-23,65045.0
2016-11-24,64775.0
2016-11-25,64820.0
2016-11-28,64885.0
2016-11-29,65000.0
2016-11-30,65015.0
2016-12-01,64600.0
2016-12-02,64405.0
2016-12-05,64810.0
2016-12-06,64810.0
2016-12-07,64740.0
2016-12-08,64885.0
2016-12-09,64700.0
2016-12-12,64405.0
2016-12-13,64710.0
2016-12-14,65030.0
2016-12-15,64800.0
2016-12-16,64965.0
2016-12-19,64985.0
2016-12-20,64950.0
2016-12-21,65255.0
2016-12-22,65200.0
2016-12-23,65320.0
2016-12-26,65245.0
2016-12-27,65250.0
2016-12-28,65440.0
2016-12-29,65580.0
2017-01-02,65565.0
2017-01-03,65540.0
2017-01-04,65390.0
2017-01-05,65570.0
2017-01-06,65645.0
2017-01-09,65150.0
2017-01-10,65345.0
2017-01-11,65275.0
2017-01-12,65560.0
2017-01-13,65445.0
2017-01-16,65340.0
2017-01-17,65440.0
2017-01-18,65325.0
2017-01-19,65050.0
2017-01-20,65270.0
2017-01-23,65295.0
2017-01-24,65475.0
