Date,TIGER 200
2015-06-05,25400.0
2015-06-08,25340.0
2015-06-09,25315.0
2015-06-10,25175.0
2015-06-11,25255.0
2015-06-12,25060.0
2015-06-15,24975.0
2015-06-16,24780.0
2015-06-17,24810.0
2015-06-18,24870.0
2015-06-19,24990.0
2015-06-22,25050.0
2015-06-23,25405.0
2015-06-24,25410.0
2015-06-25,25380.0
2015-06-26,25390.0
2015-06-29,25045.0
2015-06-30,25200.0
2015-07-01,25450.0
2015-07-02,25490.0
2015-07-03,25425.0
2015-07-06,24815.0
2015-07-07,24850.0
2015-07-08,24510.0
2015-07-09,24670.0
2015-07-10,24670.0
2015-07-13,24935.0
2015-07-14,24825.0
2015-07-15,24920.0
2015-07-16,25090.0
2015-07-17,24950.0
2015-07-20,24890.0
2015-07-21,24940.0
2015-07-22,24695.0
2015-07-23,24695.0
2015-07-24,24415.0
2015-07-27,24470.0
2015-07-28,24510.0
2015-07-29,24600.0
2015-07-30,24390.0
2015-07-31,24305.0
2015-08-03,24195.0
2015-08-04,24275.0
2015-08-05,24315.0
2015-08-06,24020.0
2015-08-07,23955.0
2015-08-10,23910.0
2015-08-11,23820.0
2015-08-12,23670.0
2015-08-13,23765.0
2015-08-17,23580.0
2015-08-18,23570.0
2015-08-19,23370.0
2015-08-20,23110.0
2015-08-21,22770.0
2015-08-24,22195.0
2015-08-25,22315.0
2015-08-26,22740.0
2015-08-27,22830.0
2015-08-28,23145.0
2015-08-31,23130.0
2015-09-01,22970.0
2015-09-02,22945.0
2015-09-03,23030.0
2015-09-04,22845.0
2015-09-07,22785.0
2015-09-08,22800.0
2015-09-09,23500.0
2015-09-10,23580.0
2015-09-11,23375.0
2015-09-14,23260.0
2015-09-15,23350.0
2015-09-16,23805.0
2015-09-17,23945.0
2015-09-18,24075.0
2015-09-21,23705.0
2015-09-22,23810.0
2015-09-23,23510.0
2015-09-24,23495.0
2015-09-25,23460.0
2015-09-30,23645.0
2015-10-01,23875.0
2015-10-02,23720.0
2015-10-05,23765.0
2015-10-06,24005.0
2015-10-07,24350.0
2015-10-08,24500.0
2015-10-12,24655.0
2015-10-13,24635.0
2015-10-14,24535.0
2015-10-15,24820.0
2015-10-16,24770.0
2015-10-19,24770.0
2015-10-20,24850.0
2015-10-21,24920.0
2015-10-22,24765.0
2015-10-23,24955.0
2015-10-26,25040.0
2015-10-27,25040.0
2015-10-28,25015.0
2015-10-29,24950.0
2015-10-30,25000.0
2015-11-02,25045.0
2015-11-03,25250.0
2015-11-04,25250.0
2015-11-05,25235.0
2015-11-06,25050.0
2015-11-09,24945.0
2015-11-10,24580.0
2015-11-11,24550.0
2015-11-12,24565.0
2015-11-13,24245.0
2015-11-16,23985.0
2015-11-17,24185.0
2015-11-18,24120.0
2015-11-19,24460.0
2015-11-20,24475.0
2015-11-23,24655.0
2015-11-24,24755.0
2015-11-25,24715.0
2015-11-26,25020.0
2015-11-27,24980.0
2015-11-30,24495.0
2015-12-01,24835.0
2015-12-02,24710.0
2015-12-03,24480.0
2015-12-04,24200.0
2015-12-07,24105.0
2015-12-08,24005.0
2015-12-09,24010.0
2015-12-10,24165.0
2015-12-11,24090.0
2015-12-14,23915.0
2015-12-15,23970.0
2015-12-16,24430.0
2015-12-17,24380.0
2015-12-18,24395.0
2015-12-21,24445.0
2015-12-22,24500.0
2015-12-23,24740.0
2015-12-24,24595.0
2015-12-28,24260.0
2015-12-29,24465.0
2015-12-30,24430.0
2016-01-04,23865.0
2016-01-05,24015.0
2016-01-06,23865.0
2016-01-07,23595.0
2016-01-08,23770.0
2016-01-11,23510.0
2016-01-12,23445.0
2016-01-13,23805.0
2016-01-14,23570.0
2016-01-15,23325.0
2016-01-18,23280.0
2016-01-19,23405.0
2016-01-20,22850.0
2016-01-21,22815.0
2016-01-22,23305.0
2016-01-25,23435.0
2016-01-26,23170.0
2016-01-27,23470.0
2016-01-28,23410.0
2016-01-29,23465.0
2016-02-01,23615.0
2016-02-02,23475.0
2016-02-03,23220.0
2016-02-04,23635.0
2016-02-05,23670.0
2016-02-11,23025.0
2016-02-12,22845.0
2016-02-15,23175.0
2016-02-16,23525.0
2016-02-17,23555.0
2016-02-18,23780.0
2016-02-19,23790.0
2016-02-22,23825.0
2016-02-23,23835.0
2016-02-24,23795.0
2016-02-25,23875.0
2016-02-26,23875.0
2016-02-29,23840.0
2016-03-02,24190.0
2016-03-03,24300.0
2016-03-04,24295.0
2016-03-07,24350.0
2016-03-08,24160.0
2016-03-09,24265.0
2016-03-10,24465.0
2016-03-11,24555.0
2016-03-14,24570.0
2016-03-15,24540.0
2016-03-16,24600.0
2016-03-17,24705.0
2016-03-18,24725.0
2016-03-21,24715.0
2016-03-22,24815.0
2016-03-23,24820.0
2016-03-24,24735.0
2016-03-25,24730.0
2016-03-28,24750.0
2016-03-29,24855.0
2016-03-30,24980.0
2016-03-31,24870.0
2016-04-01,24530.0
2016-04-04,24565.0
2016-04-05,24360.0
2016-04-06,24515.0
2016-04-07,24525.0
2016-04-08,24475.0
2016-04-11,24490.0
2016-04-12,24655.0
2016-04-14,25170.0
2016-04-15,25170.0
2016-04-18,25065.0
2016-04-19,25105.0
2016-04-20,25015.0
2016-04-21,25235.0
2016-04-22,25140.0
2016-04-25,25070.0
2016-04-26,25200.0
2016-04-27,25185.0
2016-04-28,24570.0
