Date,close,adj_close
2007.1.16,613000,12260
2007.1.17,602000,12040
2007.1.18,595000,11900
2007.1.19,585000,11700
2007.1.22,591000,11820
2007.1.23,596000,11920
2007.1.24,601000,12020
2007.1.25,603000,12060
2007.1.26,587000,11740
2007.1.29,578000,11560
2007.1.30,583000,11660
2007.1.31,579000,11580
2007.2.1,580000,11600
2007.2.2,587000,11740
2007.2.5,586000,11720
2007.2.6,587000,11740
2007.2.7,586000,11720
2007.2.8,581000,11620
2007.2.9,585000,11700
2007.2.12,572000,11440
2007.2.13,562000,11240
2007.2.14,567000,11340
2007.2.15,574000,11480
2007.2.16,590000,11800
2007.2.20,600000,12000
2007.2.21,606000,12120
2007.2.22,602000,12040
2007.2.23,593000,11860
2007.2.26,583000,11660
2007.2.27,581000,11620
2007.2.28,567000,11340
2007.3.2,566000,11320
2007.3.5,563000,11260
2007.3.6,569000,11380
2007.3.7,570000,11400
2007.3.8,574000,11480
2007.3.9,586000,11720
2007.3.12,602000,12040
2007.3.13,600000,12000
2007.3.14,584000,11680
2007.3.15,586000,11720
2007.3.16,589000,11780
2007.3.19,587000,11740
2007.3.20,579000,11580
2007.3.21,579000,11580
2007.3.22,582000,11640
2007.3.23,580000,11600
2007.3.26,584000,11680
2007.3.27,580000,11600
2007.3.28,572000,11440
2007.3.29,569000,11380
2007.3.30,563000,11260
2007.4.2,566000,11320
2007.4.3,574000,11480
2007.4.4,595000,11900
2007.4.5,593000,11860
2007.4.6,587000,11740
2007.4.9,584000,11680
2007.4.10,578000,11560
2007.4.11,599000,11980
2007.4.12,604000,12080
2007.4.13,601000,12020
2007.4.16,593000,11860
2007.4.17,593000,11860
2007.4.18,583000,11660
2007.4.19,569000,11380
2007.4.20,573000,11460
2007.4.23,570000,11400
2007.4.24,571000,11420
2007.4.25,564000,11280
2007.4.26,580000,11600
2007.4.27,580000,11600
2007.4.30,574000,11480
2007.5.2,575000,11500
2007.5.3,574000,11480
2007.5.4,576000,11520
2007.5.7,587000,11740
2007.5.8,582000,11640
2007.5.9,580000,11600
2007.5.10,575000,11500
2007.5.11,573000,11460
2007.5.14,574000,11480
2007.5.15,573000,11460
2007.5.16,570000,11400
2007.5.17,566000,11320
2007.5.18,554000,11080
2007.5.21,552000,11040
2007.5.22,565000,11300
2007.5.23,562000,11240
2007.5.25,552000,11040
2007.5.28,548000,10960
2007.5.29,537000,10740
2007.5.30,532000,10640
2007.5.31,535000,10700
2007.6.1,556000,11120
2007.6.4,572000,11440
2007.6.5,571000,11420
2007.6.7,569000,11380
2007.6.8,572000,11440
2007.6.11,578000,11560
2007.6.12,578000,11560
2007.6.13,573000,11460
2007.6.14,581000,11620
2007.6.15,574000,11480
2007.6.18,589000,11780
2007.6.19,585000,11700
2007.6.20,577000,11540
2007.6.21,589000,11780
2007.6.22,591000,11820
2007.6.25,588000,11760
2007.6.26,588000,11760
2007.6.27,581000,11620
2007.6.28,578000,11560
2007.6.29,566000,11320
2007.7.2,565000,11300
2007.7.3,571000,11420
2007.7.4,578000,11560
2007.7.5,591000,11820
2007.7.6,627000,12540
2007.7.9,643000,12860
2007.7.10,629000,12580
2007.7.11,635000,12700
2007.7.12,646000,12920
2007.7.13,687000,13740
2007.7.16,650000,13000
2007.7.18,640000,12800
2007.7.19,636000,12720
2007.7.20,661000,13220
2007.7.23,658000,13160
2007.7.24,654000,13080
2007.7.25,648000,12960
2007.7.26,626000,12520
2007.7.27,596000,11920
2007.7.30,610000,12200
2007.7.31,614000,12280
2007.8.1,581000,11620
2007.8.2,590000,11800
2007.8.3,590000,11800
2007.8.6,584000,11680
2007.8.7,584000,11680
2007.8.8,602000,12040
2007.8.9,621000,12420
2007.8.10,603000,12060
2007.8.13,613000,12260
2007.8.14,612000,12240
2007.8.16,580000,11600
2007.8.17,572000,11440
2007.8.20,590000,11800
2007.8.21,592000,11840
2007.8.22,594000,11880
2007.8.23,599000,11980
2007.8.24,586000,11720
2007.8.27,577000,11540
2007.8.28,576000,11520
2007.8.29,562000,11240
2007.8.30,572000,11440
2007.8.31,591000,11820
2007.9.3,576000,11520
2007.9.4,575000,11500
2007.9.5,569000,11380
2007.9.6,575000,11500
2007.9.7,575000,11500
2007.9.10,563000,11260
2007.9.11,567000,11340
2007.9.12,560000,11200
2007.9.13,562000,11240
2007.9.14,556000,11120
2007.9.17,545000,10900
2007.9.18,542000,10840
2007.9.19,552000,11040
2007.9.20,546000,10920
2007.9.21,534000,10680
2007.9.27,558000,11160
2007.9.28,575000,11500
2007.10.1,573000,11460
2007.10.2,579000,11580
2007.10.4,565000,11300
2007.10.5,553000,11060
2007.10.8,551000,11020
2007.10.9,537000,10740
2007.10.10,552000,11040
2007.10.11,555000,11100
2007.10.12,557000,11140
2007.10.15,542000,10840
2007.10.16,515000,10300
2007.10.17,515000,10300
2007.10.18,522000,10440
2007.10.19,540000,10800
2007.10.22,522000,10440
2007.10.23,522000,10440
2007.10.24,513000,10260
2007.10.25,507000,10140
2007.10.26,532000,10640
2007.10.29,545000,10900
2007.10.30,544000,10880
2007.10.31,550000,11000
2007.11.1,549000,10980
2007.11.2,540000,10800
2007.11.5,528000,10560
2007.11.6,548000,10960
2007.11.7,570000,11400
2007.11.8,536000,10720
2007.11.9,540000,10800
2007.11.12,532000,10640
2007.11.13,532000,10640
2007.11.14,547000,10940
2007.11.15,570000,11400
2007.11.16,557000,11140
2007.11.19,541000,10820
2007.11.20,531000,10620
2007.11.21,515000,10300
2007.11.22,539000,10780
2007.11.23,557000,11140
2007.11.26,563000,11260
2007.11.27,539000,10780
2007.11.28,544000,10880
2007.11.29,567000,11340
2007.11.30,565000,11300
2007.12.3,566000,11320
2007.12.4,575000,11500
2007.12.5,582000,11640
2007.12.6,612000,12240
2007.12.7,608000,12160
2007.12.10,614000,12280
2007.12.11,603000,12060
2007.12.12,598000,11960
2007.12.13,590000,11800
2007.12.14,581000,11620
2007.12.17,560000,11200
2007.12.18,560000,11200
2007.12.20,559000,11180
2007.12.21,560000,11200
2007.12.24,578000,11560
2007.12.26,576000,11520
2007.12.27,570000,11400
2007.12.28,556000,11120
2008.1.2,544000,10880
2008.1.3,546000,10920
2008.1.4,539000,10780
2008.1.7,519000,10380
2008.1.8,516000,10320
2008.1.9,525000,10500
2008.1.10,516000,10320
2008.1.11,516000,10320
2008.1.14,525000,10500
2008.1.15,532000,10640
2008.1.16,530000,10600
2008.1.17,560000,11200
2008.1.18,567000,11340
2008.1.21,564000,11280
2008.1.22,536000,10720
2008.1.23,540000,10800
2008.1.24,556000,11120
2008.1.25,561000,11220
2008.1.28,539000,10780
2008.1.29,558000,11160
2008.1.30,571000,11420
2008.1.31,595000,11900
2008.2.1,586000,11720
2008.2.4,612000,12240
2008.2.5,613000,12260
2008.2.11,584000,11680
2008.2.12,573000,11460
2008.2.13,574000,11480
2008.2.14,593000,11860
2008.2.15,586000,11720
2008.2.18,577000,11540
2008.2.19,587000,11740
2008.2.20,578000,11560
2008.2.21,594000,11880
2008.2.22,582000,11640
2008.2.25,581000,11620
2008.2.26,571000,11420
2008.2.27,578000,11560
2008.2.28,580000,11600
2008.2.29,560000,11200
2008.3.3,549000,10980
2008.3.4,552000,11040
2008.3.5,562000,11240
2008.3.6,562000,11240
2008.3.7,550000,11000
2008.3.10,554000,11080
2008.3.11,555000,11100
2008.3.12,560000,11200
2008.3.13,550000,11000
2008.3.14,547000,10940
2008.3.17,550000,11000
2008.3.18,568000,11360
2008.3.19,591000,11820
2008.3.20,606000,12120
2008.3.21,607000,12140
2008.3.24,599000,11980
2008.3.25,610000,12200
2008.3.26,612000,12240
2008.3.27,605000,12100
2008.3.28,613000,12260
2008.3.31,623000,12460
2008.4.1,636000,12720
2008.4.2,661000,13220
2008.4.3,662000,13240
2008.4.4,650000,13000
2008.4.7,650000,13000
2008.4.8,646000,12920
2008.4.10,656000,13120
2008.4.11,680000,13600
