Date,adj_close,Mkt,SMB,HML,RMW,CMA,MOM,Rf
2005.3.7,10140,-0.005525003,0.003503981,-0.004674931,-0.009220199,-0.009626658,0.00911523,0.000125003
2005.3.8,10040,-0.007327309,-0.014581328,0.003795852,0.002199111,0.002970173,-0.009193601,0.000127309
2005.3.9,10000,0.008372691,-0.00612468,0.024423119,-0.00294054,0.00229296,-0.001724764,0.000127309
2005.3.10,9990,-0.010126925,0.009817722,0.001152581,-0.0039363,-0.007067995,0.003509321,0.000126925
2005.3.11,10380,0.024073459,-0.00662615,-0.003662572,0.002577152,0.001116251,5.41E-06,0.000126541
2005.3.14,10200,-0.003126156,0.018093639,-0.001765137,-0.009583239,-0.005812131,-0.005646236,0.000126156
2005.3.15,10040,-0.026126156,0.010896391,-0.002257515,0.001163443,0.002518929,-0.008496091,0.000126156
2005.3.16,10060,-0.000125772,-0.000144083,-0.008551959,0.000519777,0.006664386,0.0065892,0.000125772
2005.3.17,9920,-0.013325772,-0.004219813,-0.005658284,-0.005744611,0.0039317,0.021180037,0.000125772
2005.3.18,9900,-0.000425772,-0.017718688,0.004550982,-0.005406715,0.007504159,0.006592167,0.000125772
2005.3.21,9840,-0.000623079,-0.004258969,-0.005197805,-0.005987732,-0.005918672,-0.003891687,0.000123079
2005.3.22,9920,0.001075382,-0.002218622,0.002897752,0.003528768,-0.000675671,0.004496684,0.000124618
2005.3.23,9970,-0.014025772,-0.001387524,-0.004336282,-0.006431988,-0.001596221,0.009983316,0.000125772
2005.3.24,10060,-0.010925772,0.002573123,-0.015663005,0.004245579,0.001637179,-0.001739528,0.000125772
2005.3.25,10100,0.009273075,-0.004315834,-0.000649546,-0.003820166,-0.003701833,0.013064275,0.000126925
2005.3.28,10200,0.012673459,0.002719284,0.009495302,0.001461944,-1.69E-05,0.000867205,0.000126541
2005.3.29,10040,-0.019326541,0.007512891,-0.004319511,0.004051127,-0.002682409,-0.006913499,0.000126541
2005.3.30,9960,-0.003826541,0.004074225,-0.003740854,0.00645179,0.005756246,-0.023472155,0.000126541
2005.3.31,10040,0.010572691,-0.002454781,0.004772803,0.005003249,0.000342282,0.00112671,0.000127309
2005.4.1,10240,0.016673075,-0.007567351,-0.0078016,0.001299472,-0.003140225,0.006119942,0.000126925
2005.4.4,10340,0.000473459,0.002216084,0.00745765,0.002015051,-0.003418249,0.00482444,0.000126541
2005.4.6,10360,0.005474228,0.001192748,-0.001448656,-0.001479473,0.002793574,0.002299303,0.000125772
2005.4.7,10360,0.000771922,0.00217062,-0.003402944,-0.007368518,-0.002820753,-0.000933379,0.000128078
2005.4.8,10440,0.003173075,0.00671387,-0.002802228,0.004805761,0.004852999,0.001698809,0.000126925
2005.4.11,10340,-0.006426925,0.007261034,0.0029965,-0.001338995,-0.001745928,0.002244665,0.000126925
2005.4.12,10400,-0.004326541,0.005119032,-0.000584098,-0.002835051,-0.000433993,-0.00546846,0.000126541
2005.4.13,10360,-0.000626925,-0.002172247,0.006526941,0.000229111,0.000179963,0.004338336,0.000126925
2005.4.14,10040,-0.028026541,0.015745814,0.001192704,-0.000838931,0.000112094,-0.001780847,0.000126541
2005.4.15,9830,-0.007126541,-0.005889594,0.000803704,0.003978573,-0.003897761,-0.002743189,0.000126541
2005.4.18,9520,-0.023626541,-0.019298667,0.013737614,-0.007233006,0.001488511,-0.01351751,0.000126541
2005.4.19,9480,0.007973075,0.009619527,-0.003891962,0.000562619,-0.00266008,0.006599875,0.000126925
2005.4.20,9400,0.005173075,0.001923129,0.000960637,0.002074997,0.00187764,0.014199718,0.000126925
2005.4.21,9320,0.001773844,-0.006415907,0.010124459,-0.002545706,0.003755304,0.006425777,0.000126156
2005.4.22,9340,0.001672306,0.008740156,0.00221742,0.003416727,-0.003928472,-0.003071573,0.000127694
2005.4.25,9490,0.005572691,0.003559966,0.004930439,-0.001677943,-0.00461604,-0.002557215,0.000127309
2005.4.26,9420,-0.001926925,0.002564765,0.005980347,-0.000577963,0.000584119,0.005852941,0.000126925
2005.4.27,9280,-0.015227309,0.006503518,-0.001428081,-0.005508607,0.000353469,0.000972602,0.000127309
2005.4.28,9200,-0.013527309,0.00352917,0.011757327,-0.004868735,0.003554244,-0.004682693,0.000127309
2005.4.29,9040,-0.007128462,-0.003639444,0.003896784,-0.007790574,-0.006817628,0.001416536,0.000128462
2005.5.2,9110,0.007671538,-0.000144176,-0.003358178,-0.002811923,-0.001554314,-0.003789495,0.000128462
2005.5.3,9100,-0.005128846,0.002336941,0.000570694,5.13E-05,-0.002703224,0.004153574,0.000128846
2005.5.4,9290,0.016874997,-0.004732428,-0.009114208,-0.001882947,0.003380071,0.004004231,0.000125003
2005.5.6,9480,0.012270769,-0.001479049,-0.017300834,-0.003032071,-0.004541496,0.00261272,0.000129231
2005.5.9,9500,-0.006128078,0.000817633,-0.002195671,0.001174017,-0.001828679,-0.004018624,0.000128078
2005.5.10,9540,-0.001128846,0.008509983,-0.004680136,0.000573446,0.002651712,-0.001130404,0.000128846
2005.5.11,9440,-0.011828846,0.008796302,0.004056681,-6.99E-05,0.008631023,-0.002690379,0.000128846
2005.5.12,9500,-0.002528462,0.005445595,-0.005453242,-0.003556934,-0.003933027,-0.000470195,0.000128462
2005.5.13,9630,0.001971538,0.000472645,-0.006321368,0.000612252,-0.001430107,-0.004394459,0.000128462
2005.5.16,9760,0.006171538,0.00104795,-0.002736824,0.009067834,0.001742356,-0.003650085,0.000128462
2005.5.17,9790,-0.002128078,0.004614532,0.002197512,0.005067126,0.002048281,-0.013073677,0.000128078
2005.5.18,9790,0.003371538,0.003280921,0.003931761,-0.000945849,-0.000846388,-0.006840167,0.000128462
2005.5.19,9970,0.023274228,-0.011467287,0.001615202,-0.002481069,-0.00207132,0.010074901,0.000125772
2005.5.20,9970,-2.77E-05,0.002482684,-0.003398084,0.004844956,-0.000138176,-0.001476938,0.000127694
